#
#     DEFINES WAVELENGTH DEPENDENT COMPLEX INDEX OF REFRACTION FOR WATER
#     ALLOWABLE WAVELENGTH RANGE EXTENDS FROM .2 MICRONS TO 1000.0 microns
#
#     ERIC A. SMITH
#     DEPT OF ATMOSPHERIC SCIENCE
#     COLORADO STATE UNIVERSITY
#     FORT COLLINS,CO  80523
#     TEL   303-491-8533
#
#     REFERENCES
#
#     0.2 UM - 0.69 UM
#
#     HALE,G., AND M. QUERRY,1972.
#     OPTICAL CONSTANTS OF WATER IN THE 200 NM TO 200 UM WAVELENGTH REGI
#     APPLIED OPTICS,12,3,555-563.
#
#     0.69 UM - 2.0 UM
#
#     PALMER,K.F., AND D. WILLIAMS,1974.
#     OPTICAL PROPERTIES OF WATER IN THE NEAR INFRARED.
#     JOURNAL OF THE OPTICAL SOCIETY OF AMERICA,64,8,1107-1110.
#
#     2.0 UM - 1000.0 UM
#
#     DOWNING,H.D., AND D. WILLIAMS,1975.
#     OPTICAL CONSTANTS OF WATER IN THE INFRARED.
#     JOURNAL OF GEOPHYSICAL REVIEW,80,12,1656-1661.
#
#  nlambda = 
 518
#    lambda          real              im 
#   (microns)
  0.20000000       1.3960000      1.10000002E-07
  0.22499999       1.3730000      4.90000005E-08
  0.25000000       1.3620000      3.39999993E-08
  0.27500001       1.3540000      2.40000002E-08
  0.30000001       1.3490000      1.59999995E-08
  0.32499999       1.3460000      1.10000000E-08
  0.35001001       1.3430001      6.50000009E-09
  0.37500000       1.3410000      3.50000007E-09
  0.40000001       1.3390000      1.89999994E-09
  0.42501000       1.3380001      1.30000000E-09
  0.44999999       1.3370000      9.99999972E-10
  0.47499001       1.3360000      9.39999967E-10
  0.50000000       1.3350000      9.99999972E-10
  0.52499002       1.3340000      1.30000000E-09
  0.54999000       1.3329999      1.99999994E-09
  0.57501000       1.3329999      3.60000008E-09
  0.59999001       1.3320000      1.10000000E-08
  0.62500000       1.3320000      1.40000003E-08
  0.64998001       1.3310000      1.59999995E-08
  0.67499000       1.3310000      2.20000000E-08
  0.68966001       1.3320000      2.70000005E-08
  0.70174998       1.3320000      3.79999996E-08
  0.71429002       1.3320000      5.60000011E-08
  0.72464001       1.3320000      7.73000011E-08
  0.73528999       1.3320000      1.38999994E-07
  0.74627000       1.3320000      1.62999996E-07
  0.75187999       1.3320000      1.68000000E-07
  0.75757998       1.3320000      1.63999999E-07
  0.76923001       1.3310000      1.54000006E-07
  0.78125000       1.3310000      1.42999994E-07
  0.79364997       1.3310000      1.33000000E-07
  0.80645001       1.3310000      1.25000000E-07
  0.81300998       1.3310000      1.23999996E-07
  0.81967002       1.3300000      1.30000004E-07
  0.83332998       1.3300000      2.04000003E-07
  0.84745997       1.3300000      2.60999997E-07
  0.86207002       1.3300000      2.93999989E-07
  0.87718999       1.3300000      3.52999990E-07
  0.89286000       1.3290000      4.32999997E-07
  0.90908998       1.3290000      5.42999999E-07
  0.92593002       1.3290000      8.76999991E-07
  0.93458003       1.3290000      1.18000003E-06
  0.94340003       1.3290000      1.61000003E-06
  0.95238000       1.3279999      2.43999989E-06
  0.96153998       1.3279999      3.59999990E-06
  0.97276002       1.3279999      3.98000020E-06
  0.98039001       1.3279999      3.91999993E-06
  0.99010003       1.3279999      3.69999998E-06
   1.0000000       1.3279999      3.31000001E-06
   1.0101000       1.3279999      2.81999996E-06
   1.0204099       1.3279999      2.30999990E-06
   1.0309300       1.3279999      1.90000003E-06
   1.0416700       1.3279999      1.56999999E-06
   1.0526299       1.3279999      1.36999995E-06
   1.0695200       1.3279999      1.25999998E-06
   1.0869600       1.3270000      1.44000001E-06
   1.0989000       1.3270000      1.67999997E-06
   1.1111100       1.3270000      2.04999992E-06
   1.1236000       1.3270000      2.88999991E-06
   1.1363600       1.3260000      4.95999984E-06
   1.1494300       1.3260000      8.86999987E-06
   1.1627899       1.3260000      1.09000002E-05
   1.1764700       1.3260000      1.15000003E-05
   1.1904800       1.3250000      1.17999998E-05
   1.2048200       1.3250000      1.20000004E-05
   1.2195100       1.3250000      1.17999998E-05
   1.2345700       1.3250000      1.15000003E-05
   1.2500000       1.3250000      1.10000001E-05
   1.2658200       1.3240000      1.08000004E-05
   1.2820500       1.3240000      1.15000003E-05
   1.2987000       1.3240000      1.37999996E-05
   1.3157901       1.3240000      1.75000005E-05
   1.3333300       1.3230000      2.39000001E-05
   1.3513499       1.3230000      4.16000003E-05
   1.3698601       1.3230000      5.94000012E-05
   1.3888900       1.3220000      1.00999998E-04
   1.4084500       1.3220000      2.41000002E-04
   1.4285700       1.3210000      3.52000003E-04
   1.4430000       1.3210000      3.64000007E-04
   1.4705900       1.3210000      3.34000011E-04
   1.4925400       1.3200001      2.57999985E-04
   1.5151500       1.3200001      1.88000005E-04
   1.5384600       1.3190000      1.48000006E-04
   1.5625000       1.3190000      1.19999997E-04
   1.5872999       1.3180000      1.01999998E-04
   1.6129000       1.3180000      8.73000026E-05
   1.6393400       1.3170000      7.91999992E-05
   1.6666700       1.3160000      7.49000028E-05
   1.6949199       1.3150001      7.61999981E-05
   1.7241400       1.3140000      8.55000035E-05
   1.7543900       1.3140000      1.06000000E-04
   1.7857100       1.3130000      1.30000000E-04
   1.8018000       1.3120000      1.36000002E-04
   1.8181800       1.3120000      1.36999995E-04
   1.8518500       1.3110000      1.59000003E-04
   1.8867900       1.3099999      8.62999994E-04
   1.9267800       1.3090000      1.90000003E-03
   1.9607800       1.3070000      1.70000002E-03
   2.0000000       1.3060000      1.09999999E-03
   2.0202000       1.3010000      8.99999985E-04
   2.0408199       1.3010000      7.30999978E-04
   2.0618601       1.3000000      6.16999983E-04
   2.0833299       1.2980000      5.14000014E-04
   2.1052599       1.2980000      4.52000007E-04
   2.1276600       1.2960000      3.99999990E-04
   2.1505401       1.2950000      3.58999998E-04
   2.1739099       1.2940000      3.41000006E-04
   2.1977999       1.2930000      3.38000013E-04
   2.2222199       1.2910000      3.45000008E-04
   2.2471900       1.2890000      3.76000011E-04
   2.2727301       1.2869999      4.15999995E-04
   2.2988501       1.2850000      4.64999990E-04
   2.3255799       1.2819999      5.41999994E-04
   2.3529401       1.2800000      6.52000017E-04
   2.3809500       1.2770000      7.91999977E-04
   2.4096401       1.2740000      9.67999978E-04
   2.4390199       1.2700000      1.23000005E-03
   2.4691401       1.2650000      1.56000000E-03
   2.5000000       1.2610000      1.90000003E-03
   2.5062699       1.2600000      1.94999995E-03
   2.5125599       1.2589999      2.00000009E-03
   2.5188899       1.2570000      2.05000001E-03
   2.5252500       1.2560000      2.06999993E-03
   2.5316501       1.2550000      2.09999993E-03
   2.5380700       1.2539999      2.12000008E-03
   2.5445299       1.2520000      2.15000007E-03
   2.5510199       1.2500000      2.18999991E-03
   2.5575399       1.2490000      2.24000006E-03
   2.5641000       1.2470000      2.27000006E-03
   2.5706899       1.2460001      2.30999989E-03
   2.5773201       1.2430000      2.33999989E-03
   2.5839801       1.2410001      2.39000004E-03
   2.5906701       1.2400000      2.43000011E-03
   2.5974000       1.2380000      2.48000002E-03
   2.6041701       1.2350000      2.57000001E-03
   2.6109700       1.2320000      2.70000007E-03
   2.6178000       1.2300000      2.98000011E-03
   2.6246700       1.2270000      3.29999998E-03
   2.6315801       1.2240000      4.01999988E-03
   2.6385200       1.2210000      4.37000021E-03
   2.6454999       1.2180001      4.81999991E-03
   2.6525199       1.2140000      5.35999984E-03
   2.6595700       1.2100000      6.26999978E-03
   2.6666701       1.2050000      7.31999986E-03
   2.6738000       1.2000000      8.55000038E-03
   2.6809700       1.1950001      1.04999999E-02
   2.6881700       1.1910000      1.26999998E-02
   2.6954200       1.1849999      1.44999996E-02
   2.7026999       1.1790000      1.64000001E-02
   2.7100301       1.1720001      1.86000001E-02
   2.7173901       1.1660000      2.05000006E-02
   2.7248001       1.1569999      2.82000005E-02
   2.7322400       1.1490000      3.79999988E-02
   2.7397299       1.1440001      4.61999997E-02
   2.7472501       1.1390001      5.48000000E-02
   2.7548201       1.1380000      6.49000034E-02
   2.7624300       1.1380000      7.44000003E-02
   2.7700801       1.1390001      8.35999995E-02
   2.7777801       1.1410000      9.26999971E-02
   2.7855201       1.1440001      0.10200000    
   2.7932999       1.1490000      0.11200000    
   2.8011200       1.1540000      0.12100000    
   2.8089900       1.1580000      0.13100000    
   2.8169000       1.1610000      0.14200000    
   2.8248601       1.1650000      0.15400000    
   2.8328600       1.1710000      0.16700000    
   2.8409100       1.1770000      0.18000001    
   2.8490000       1.1830000      0.19400001    
   2.8571401       1.1910000      0.20600000    
   2.8653300       1.1990000      0.21799999    
   2.8735600       1.2120000      0.22900000    
   2.8818400       1.2200000      0.23899999    
   2.8901701       1.2330000      0.24900000    
   2.8985500       1.2460001      0.25799999    
   2.9069800       1.2580000      0.26499999    
   2.9154501       1.2710000      0.27100000    
   2.9239800       1.2819999      0.27599999    
   2.9325500       1.2930000      0.28000000    
   2.9411800       1.3049999      0.28099999    
   2.9498501       1.3170000      0.28200001    
   2.9585800       1.3290000      0.28200001    
   2.9673600       1.3420000      0.27900001    
   2.9761901       1.3530000      0.27599999    
   2.9850700       1.3640000      0.27200001    
   2.9940100       1.3760000      0.26699999    
   3.0030000       1.3860000      0.26199999    
   3.0120499       1.3980000      0.25500000    
   3.0211501       1.4069999      0.25000000    
   3.0302999       1.4170001      0.24300000    
   3.0395100       1.4260000      0.23600000    
   3.0487800       1.4340000      0.22800000    
   3.0581000       1.4420000      0.22000000    
   3.0674801       1.4500000      0.21200000    
   3.0769200       1.4570000      0.20400000    
   3.0864201       1.4650000      0.19499999    
   3.0959799       1.4710000      0.18300000    
   3.1055901       1.4760000      0.17299999    
   3.1152599       1.4800000      0.16300000    
   3.1250000       1.4830000      0.15300000    
   3.1348000       1.4859999      0.14399999    
   3.1446500       1.4870000      0.13400000    
   3.1545701       1.4870000      0.12500000    
   3.1645601       1.4870000      0.11700000    
   3.1745999       1.4859999      0.11000000    
   3.1847100       1.4850000      9.93999988E-02
   3.1948900       1.4820000      9.20000002E-02
   3.2051301       1.4790000      8.55000019E-02
   3.2154300       1.4770000      7.85000026E-02
   3.2258101       1.4740000      7.15999976E-02
   3.2362499       1.4720000      6.53000027E-02
   3.2467501       1.4670000      5.99999987E-02
   3.2573299       1.4640000      5.49999997E-02
   3.2679701       1.4610000      5.04000001E-02
   3.2786901       1.4570000      4.61999997E-02
   3.2894700       1.4540000      4.21999991E-02
   3.3003299       1.4510000      3.84999998E-02
   3.3112600       1.4480000      3.48000005E-02
   3.3222599       1.4440000      3.15000005E-02
   3.3333299       1.4410000      2.96999998E-02
   3.3444800       1.4370000      2.78999992E-02
   3.3557000       1.4340000      2.62000002E-02
   3.3670001       1.4310000      2.50000004E-02
   3.3783801       1.4270000      2.29000002E-02
   3.3898301       1.4250000      2.09999997E-02
   3.4013600       1.4210000      1.93000007E-02
   3.4129701       1.4180000      1.76999997E-02
   3.4246600       1.4150000      1.63000003E-02
   3.4364300       1.4130000      1.51000004E-02
   3.4482801       1.4100000      1.37999998E-02
   3.4602101       1.4069999      1.27999997E-02
   3.4722199       1.4050000      1.18000004E-02
   3.4843199       1.4030000      1.09999999E-02
   3.4965000       1.4000000      1.00999996E-02
   3.5087700       1.3980000      9.41000041E-03
   3.5211301       1.3960000      8.65999982E-03
   3.5335701       1.3940001      8.07000045E-03
   3.5460999       1.3920000      7.36999977E-03
   3.5587201       1.3900000      6.82999985E-03
   3.5714300       1.3880000      6.25000009E-03
   3.5842299       1.3870000      5.78999985E-03
   3.5971200       1.3850000      5.37999999E-03
   3.6101100       1.3830000      5.05999988E-03
   3.6231899       1.3820000      4.73000016E-03
   3.6363599       1.3789999      4.49000020E-03
   3.6496401       1.3780000      4.24000015E-03
   3.6630001       1.3770000      4.05000011E-03
   3.6764700       1.3750000      3.89000005E-03
   3.6900401       1.3740000      3.75999999E-03
   3.7037001       1.3720000      3.62999993E-03
   3.7174699       1.3710001      3.55000002E-03
   3.7313399       1.3700000      3.47000011E-03
   3.7453201       1.3690000      3.40000005E-03
   3.7593999       1.3670000      3.34999990E-03
   3.7735801       1.3660001      3.35999997E-03
   3.7878799       1.3650000      3.34999990E-03
   3.8022799       1.3630000      3.38999997E-03
   3.8167901       1.3609999      3.40000005E-03
   3.8314199       1.3609999      3.47999996E-03
   3.8461499       1.3600000      3.52000003E-03
   3.8610001       1.3580000      3.62999993E-03
   3.8759699       1.3580000      3.70000000E-03
   3.8910501       1.3570000      3.77999991E-03
   3.9062500       1.3550000      3.89000005E-03
   3.9215701       1.3540000      3.99000011E-03
   3.9370100       1.3530000      4.10000002E-03
   3.9525700       1.3520000      4.22000000E-03
   3.9682500       1.3510000      4.32999991E-03
   3.9840600       1.3500000      4.49999981E-03
   4.0000000       1.3490000      4.65000002E-03
   4.0160599       1.3480000      4.79000015E-03
   4.0322599       1.3480000      4.93999990E-03
   4.0485802       1.3470000      5.11999987E-03
   4.0650401       1.3460000      5.30999992E-03
   4.0816302       1.3450000      5.48999989E-03
   4.0983601       1.3440000      5.67999994E-03
   4.1152301       1.3440000      5.85999992E-03
   4.1322298       1.3430001      6.08000020E-03
   4.1493802       1.3420000      6.31000008E-03
   4.1666698       1.3410000      6.52999990E-03
   4.1841002       1.3400000      6.73000002E-03
   4.2016802       1.3400000      6.95999991E-03
   4.2194099       1.3380001      7.22000003E-03
   4.2372899       1.3370000      7.49000022E-03
   4.2553201       1.3370000      7.79000018E-03
   4.2735000       1.3350000      8.05999991E-03
   4.2918501       1.3340000      8.32999963E-03
   4.3103399       1.3340000      8.63999967E-03
   4.3290000       1.3329999      8.96000024E-03
   4.3478298       1.3320000      9.27000027E-03
   4.3668098       1.3320000      9.65999998E-03
   4.3859601       1.3310000      9.99999978E-03
   4.4052901       1.3300000      1.04000000E-02
   4.4247799       1.3300000      1.08000003E-02
   4.4444399       1.3300000      1.11999996E-02
   4.4642901       1.3290000      1.16999997E-02
   4.4843001       1.3290000      1.21999998E-02
   4.5044999       1.3290000      1.26000000E-02
   4.5248899       1.3279999      1.31000001E-02
   4.5454502       1.3279999      1.36000002E-02
   4.5662098       1.3270000      1.40000004E-02
   4.5871601       1.3270000      1.44999996E-02
   4.6082902       1.3270000      1.48999998E-02
   4.6296301       1.3270000      1.52000003E-02
   4.6511598       1.3270000      1.53999999E-02
   4.6729002       1.3260000      1.55999996E-02
   4.6948400       1.3260000      1.56999994E-02
   4.7169800       1.3260000      1.56999994E-02
   4.7393398       1.3250000      1.56999994E-02
   4.7618999       1.3250000      1.54999997E-02
   4.7846899       1.3250000      1.53000001E-02
   4.8076901       1.3250000      1.51000004E-02
   4.8309202       1.3250000      1.48000000E-02
   4.8543701       1.3250000      1.46000003E-02
   4.8780499       1.3240000      1.42999999E-02
   4.9019599       1.3240000      1.40000004E-02
   4.9261098       1.3230000      1.37000000E-02
   4.9505000       1.3220000      1.32999998E-02
   4.9751201       1.3220000      1.29000004E-02
   5.0000000       1.3210000      1.26000000E-02
   5.0251298       1.3200001      1.21999998E-02
   5.0505099       1.3190000      1.18000004E-02
   5.0761399       1.3180000      1.15000000E-02
   5.1020398       1.3180000      1.09999999E-02
   5.1282101       1.3170000      1.08000003E-02
   5.1546402       1.3160000      1.04999999E-02
   5.1813502       1.3140000      1.03000002E-02
   5.2083302       1.3130000      1.00999996E-02
   5.2356000       1.3110000      9.99999978E-03
   5.2631602       1.3099999      9.92999971E-03
   5.2910099       1.3080000      9.89999995E-03
   5.3191500       1.3060000      9.94999986E-03
   5.3475900       1.3040000      9.99999978E-03
   5.3763399       1.3020000      1.02000004E-02
   5.4054098       1.2990000      1.04000000E-02
   5.4347801       1.2970001      1.07000005E-02
   5.4644799       1.2940000      1.09999999E-02
   5.4945102       1.2910000      1.15000000E-02
   5.5248599       1.2880000      1.20000001E-02
   5.5555601       1.2850000      1.27999997E-02
   5.5865898       1.2819999      1.37999998E-02
   5.6179800       1.2780000      1.49999997E-02
   5.6497202       1.2750000      1.65999997E-02
   5.6818199       1.2710000      1.85000002E-02
   5.7142901       1.2670000      2.05000006E-02
   5.7471299       1.2620000      2.41999999E-02
   5.7803502       1.2560000      2.93000005E-02
   5.8139501       1.2510000      3.31999995E-02
   5.8479500       1.2470000      4.28999998E-02
   5.8823500       1.2420000      5.44000007E-02
   5.9171600       1.2410001      6.88000023E-02
   5.9523802       1.2410001      8.39999989E-02
   5.9880199       1.2470000      0.10210000    
   6.0240998       1.2650000      0.11700000    
   6.0606098       1.2890000      0.13000000    
   6.0975599       1.3110000      0.13200000    
   6.1349702       1.3320000      0.12400000    
   6.1728401       1.3490000      0.10600000    
   6.2111802       1.3540000      8.79999995E-02
   6.2500000       1.3559999      7.40000010E-02
   6.2893100       1.3540000      6.17999993E-02
   6.3291101       1.3500000      5.35000004E-02
   6.3694301       1.3450000      4.83999997E-02
   6.4102602       1.3410000      4.47000004E-02
   6.4516101       1.3370000      4.19999994E-02
   6.4935098       1.3329999      3.97999994E-02
   6.5359502       1.3300000      3.83000001E-02
   6.5789499       1.3260000      3.73000018E-02
   6.6225200       1.3240000      3.70000005E-02
   6.6666698       1.3220000      3.66000012E-02
   6.7114100       1.3200001      3.62999998E-02
   6.7567601       1.3190000      3.59999985E-02
   6.8027201       1.3180000      3.57000008E-02
   6.8493199       1.3170000      3.55000012E-02
   6.8965502       1.3160000      3.51999998E-02
   6.9444399       1.3150001      3.50000001E-02
   6.9930100       1.3140000      3.46999988E-02
   7.0422502       1.3130000      3.46000008E-02
   7.0921998       1.3110000      3.42999995E-02
   7.1428599       1.3099999      3.42000015E-02
   7.1942401       1.3090000      3.42000015E-02
   7.2463799       1.3080000      3.42000015E-02
   7.2992702       1.3070000      3.42999995E-02
   7.3529401       1.3060000      3.42000015E-02
   7.4074101       1.3049999      3.42000015E-02
   7.4626899       1.3030000      3.42000015E-02
   7.5187998       1.3020000      3.42000015E-02
   7.5757599       1.3010000      3.42000015E-02
   7.6335902       1.3000000      3.44000012E-02
   7.6923099       1.2980000      3.44999991E-02
   7.7519398       1.2960000      3.46000008E-02
   7.8125000       1.2950000      3.48999985E-02
   7.8740201       1.2940000      3.51000018E-02
   7.9365101       1.2930000      3.51000018E-02
   8.0000000       1.2910000      3.51000018E-02
   8.0645199       1.2880000      3.51999998E-02
   8.1300802       1.2860000      3.55999991E-02
   8.1967201       1.2850000      3.59000005E-02
   8.2644596       1.2830000      3.61000001E-02
   8.3333302       1.2810000      3.62000018E-02
