# 
# Refractive index taken form OPAC database 
# 
# Material :
# insoluble 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag  
#   [um]      
2.500000000e-01   1.530000000e+00   3.000000000e-02
3.000000000e-01   1.530000000e+00   8.000000000e-03
3.500000000e-01   1.530000000e+00   8.000000000e-03
4.000000000e-01   1.530000000e+00   8.000000000e-03
4.500000000e-01   1.530000000e+00   8.000000000e-03
5.000000000e-01   1.530000000e+00   8.000000000e-03
5.500000000e-01   1.530000000e+00   8.000000000e-03
6.000000000e-01   1.530000000e+00   8.000000000e-03
6.500000000e-01   1.530000000e+00   8.000000000e-03
7.000000000e-01   1.530000000e+00   8.000000000e-03
7.500000000e-01   1.530000000e+00   8.000000000e-03
8.000000000e-01   1.520000000e+00   8.000000000e-03
9.000000000e-01   1.520000000e+00   8.000000000e-03
1.000000000e+00   1.520000000e+00   8.000000000e-03
1.250000000e+00   1.460000000e+00   8.000000000e-03
1.500000000e+00   1.410000000e+00   8.000000000e-03
1.750000000e+00   1.340000000e+00   8.000000000e-03
2.000000000e+00   1.260000000e+00   8.000000000e-03
2.500000000e+00   1.180000000e+00   9.000000000e-03
3.000000000e+00   1.160000000e+00   1.200000000e-02
3.200000000e+00   1.220000000e+00   1.000000000e-02
3.390000000e+00   1.258000000e+00   1.285000000e-02
3.500000000e+00   1.280000000e+00   1.100000000e-02
3.750000000e+00   1.270000000e+00   1.100000000e-02
4.000000000e+00   1.260000000e+00   1.200000000e-02
4.500000000e+00   1.260000000e+00   1.400000000e-02
5.000000000e+00   1.250000000e+00   1.600000000e-02
5.500000000e+00   1.220000000e+00   2.100000000e-02
6.000000000e+00   1.150000000e+00   3.700000000e-02
6.200000000e+00   1.140000000e+00   3.900000000e-02
6.500000000e+00   1.130000000e+00   4.200000000e-02
7.200000000e+00   1.400000000e+00   5.500000000e-02
7.900000000e+00   1.150000000e+00   4.000000000e-02
8.200000000e+00   1.130000000e+00   7.420000000e-02
8.500000000e+00   1.300000000e+00   9.000000000e-02
8.700000000e+00   1.400000000e+00   1.000000000e-01
9.000000000e+00   1.700000000e+00   1.400000000e-01
9.200000000e+00   1.720000000e+00   1.500000000e-01
9.500000000e+00   1.730000000e+00   1.620000000e-01
9.800000000e+00   1.740000000e+00   1.620000000e-01
1.000000000e+01   1.750000000e+00   1.620000000e-01
1.060000000e+01   1.620000000e+00   1.200000000e-01
1.100000000e+01   1.620000000e+00   1.050000000e-01
1.150000000e+01   1.590000000e+00   1.000000000e-01
1.250000000e+01   1.510000000e+00   9.000000000e-02
1.300000000e+01   1.470000000e+00   1.000000000e-01
1.400000000e+01   1.520000000e+00   8.500000000e-02
1.480000000e+01   1.570000000e+00   1.000000000e-01
1.500000000e+01   1.570000000e+00   1.000000000e-01
1.640000000e+01   1.600000000e+00   1.000000000e-01
1.720000000e+01   1.630000000e+00   1.000000000e-01
1.800000000e+01   1.640000000e+00   1.150000000e-01
1.850000000e+01   1.640000000e+00   1.200000000e-01
2.000000000e+01   1.680000000e+00   2.200000000e-01
2.130000000e+01   1.770000000e+00   2.800000000e-01
2.250000000e+01   1.900000000e+00   2.800000000e-01
2.500000000e+01   1.970000000e+00   2.400000000e-01
2.790000000e+01   1.890000000e+00   3.200000000e-01
3.000000000e+01   1.800000000e+00   4.200000000e-01
3.500000000e+01   1.900000000e+00   5.000000000e-01
4.000000000e+01   2.100000000e+00   6.000000000e-01
