# 
# Refractive index taken form OPAC database 
# 
# Material :
# Ice water 
# 
#  nlambda = 
32 
# wavelength          ref.real         ref.imag 
#   [um]      
2.800000000e-01   1.340000000e+00   6.750000000e-09
3.000000000e-01   1.330000000e+00   5.500000000e-09
3.200000000e-01   1.330000000e+00   4.810000000e-09
3.500000000e-01   1.330000000e+00   3.760000000e-09
3.550000000e-01   1.320000000e+00   3.660000000e-09
4.000000000e-01   1.310000000e+00   2.710000000e-09
4.230000000e-01   1.320000000e+00   2.200000000e-09
5.320000000e-01   1.310000000e+00   2.610000000e-09
5.350000000e-01   1.310000000e+00   2.730000000e-09
5.500000000e-01   1.310000000e+00   3.110000000e-09
6.350000000e-01   1.310000000e+00   1.130000000e-08
7.800000000e-01   1.310000000e+00   1.020000000e-07
8.300000000e-01   1.300000000e+00   1.450000000e-07
8.730000000e-01   1.300000000e+00   2.860000000e-07
1.015000000e+00   1.300000000e+00   2.120000000e-06
1.064000000e+00   1.300000000e+00   1.900000000e-06
1.100000000e+00   1.300000000e+00   1.700000000e-06
1.200000000e+00   1.300000000e+00   6.710000000e-06
1.400000000e+00   1.290000000e+00   1.980000000e-05
1.449000000e+00   1.290000000e+00   2.700000000e-04
1.504000000e+00   1.290000000e+00   5.890000000e-04
1.555000000e+00   1.290000000e+00   4.670000000e-04
1.615000000e+00   1.290000000e+00   3.320000000e-04
1.850000000e+00   1.280000000e+00   8.030000000e-05
1.905000000e+00   1.280000000e+00   4.680000000e-04
2.000000000e+00   1.270000000e+00   1.580000000e-03
2.190000000e+00   1.260000000e+00   2.870000000e-04
2.600000000e+00   1.200000000e+00   1.010000000e-03
3.077000000e+00   1.320000000e+00   6.250000000e-01
3.413000000e+00   1.500000000e+00   3.420000000e-02
3.700000000e+00   1.400000000e+00   7.190000000e-03
1.000000000e+01   1.200000000e+00   5.100000000e-02
