# 
# Refractive index taken form OPAC database 
# 
# Material :
# liquid water 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag 
#   [um]      
2.500000000e-01   1.362000000e+00   3.350000000e-08
3.000000000e-01   1.349000000e+00   1.600000000e-08
3.500000000e-01   1.343000000e+00   6.500000000e-09
4.000000000e-01   1.339000000e+00   1.860000000e-09
4.500000000e-01   1.337000000e+00   1.020000000e-09
5.000000000e-01   1.335000000e+00   1.000000000e-09
5.500000000e-01   1.333000000e+00   1.960000000e-09
6.000000000e-01   1.332000000e+00   1.090000000e-08
6.500000000e-01   1.331000000e+00   1.640000000e-08
7.000000000e-01   1.331000000e+00   3.350000000e-08
7.500000000e-01   1.330000000e+00   1.560000000e-07
8.000000000e-01   1.329000000e+00   1.250000000e-07
9.000000000e-01   1.328000000e+00   4.860000000e-07
1.000000000e+00   1.327000000e+00   2.890000000e-06
1.250000000e+00   1.323000000e+00   8.700000000e-06
1.500000000e+00   1.321000000e+00   2.000000000e-04
1.750000000e+00   1.313000000e+00   1.000000000e-04
2.000000000e+00   1.306000000e+00   1.100000000e-03
2.500000000e+00   1.261000000e+00   1.740000000e-03
3.000000000e+00   1.371000000e+00   2.720000000e-01
3.200000000e+00   1.478000000e+00   9.240000000e-02
3.390000000e+00   1.423000000e+00   2.314000000e-02
3.500000000e+00   1.400000000e+00   9.400000000e-03
3.750000000e+00   1.369000000e+00   3.500000000e-03
4.000000000e+00   1.351000000e+00   4.600000000e-03
4.500000000e+00   1.332000000e+00   1.340000000e-02
5.000000000e+00   1.325000000e+00   1.240000000e-02
5.500000000e+00   1.298000000e+00   1.160000000e-02
6.000000000e+00   1.265000000e+00   1.070000000e-01
6.200000000e+00   1.363000000e+00   8.800000000e-02
6.500000000e+00   1.339000000e+00   3.920000000e-02
7.200000000e+00   1.312000000e+00   3.210000000e-02
7.900000000e+00   1.294000000e+00   3.390000000e-02
8.200000000e+00   1.286000000e+00   3.510000000e-02
8.500000000e+00   1.278000000e+00   3.670000000e-02
8.700000000e+00   1.272000000e+00   3.790000000e-02
9.000000000e+00   1.262000000e+00   3.990000000e-02
9.200000000e+00   1.255000000e+00   4.150000000e-02
9.500000000e+00   1.243000000e+00   4.440000000e-02
9.800000000e+00   1.229000000e+00   4.790000000e-02
1.000000000e+01   1.218000000e+00   5.080000000e-02
1.060000000e+01   1.179000000e+00   6.740000000e-02
1.100000000e+01   1.153000000e+00   9.680000000e-02
1.150000000e+01   1.126000000e+00   1.420000000e-01
1.250000000e+01   1.123000000e+00   2.590000000e-01
1.300000000e+01   1.146000000e+00   3.050000000e-01
1.400000000e+01   1.210000000e+00   3.700000000e-01
1.480000000e+01   1.258000000e+00   3.960000000e-01
1.500000000e+01   1.270000000e+00   4.020000000e-01
1.640000000e+01   1.346000000e+00   4.270000000e-01
1.720000000e+01   1.386000000e+00   4.290000000e-01
1.800000000e+01   1.423000000e+00   4.260000000e-01
1.850000000e+01   1.443000000e+00   4.210000000e-01
2.000000000e+01   1.480000000e+00   3.930000000e-01
2.130000000e+01   1.491000000e+00   3.790000000e-01
2.250000000e+01   1.506000000e+00   3.700000000e-01
2.500000000e+01   1.531000000e+00   3.560000000e-01
2.790000000e+01   1.549000000e+00   3.390000000e-01
3.000000000e+01   1.551000000e+00   3.280000000e-01
3.500000000e+01   1.532000000e+00   3.360000000e-01
4.000000000e+01   1.519000000e+00   3.850000000e-01
