# 
# Refractive index taken form OPAC database 
# 
# Material :
# mineral (nuc.) 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag  
#   [um]      
2.500000000e-01   1.530000000e+00   3.000000000e-02
3.000000000e-01   1.530000000e+00   2.500000000e-02
3.500000000e-01   1.530000000e+00   1.700000000e-02
4.000000000e-01   1.530000000e+00   1.300000000e-02
4.500000000e-01   1.530000000e+00   8.500000000e-03
5.000000000e-01   1.530000000e+00   7.800000000e-03
5.500000000e-01   1.530000000e+00   5.500000000e-03
6.000000000e-01   1.530000000e+00   4.500000000e-03
6.500000000e-01   1.530000000e+00   4.500000000e-03
7.000000000e-01   1.530000000e+00   4.000000000e-03
7.500000000e-01   1.530000000e+00   4.000000000e-03
8.000000000e-01   1.530000000e+00   4.000000000e-03
9.000000000e-01   1.530000000e+00   4.000000000e-03
1.000000000e+00   1.530000000e+00   4.000000000e-03
1.250000000e+00   1.530000000e+00   5.000000000e-03
1.500000000e+00   1.530000000e+00   5.700000000e-03
1.750000000e+00   1.530000000e+00   6.400000000e-03
2.000000000e+00   1.530000000e+00   7.600000000e-03
2.500000000e+00   1.520000000e+00   1.400000000e-02
3.000000000e+00   1.520000000e+00   3.900000000e-02
3.200000000e+00   1.510000000e+00   2.400000000e-02
3.390000000e+00   1.510000000e+00   1.925000000e-02
3.500000000e+00   1.510000000e+00   1.800000000e-02
3.750000000e+00   1.500000000e+00   1.200000000e-02
4.000000000e+00   1.500000000e+00   6.700000000e-03
4.500000000e+00   1.500000000e+00   8.700000000e-03
5.000000000e+00   1.480000000e+00   1.800000000e-02
5.500000000e+00   1.460000000e+00   3.600000000e-02
6.000000000e+00   1.440000000e+00   5.500000000e-02
6.200000000e+00   1.430000000e+00   6.300000000e-02
6.500000000e+00   1.420000000e+00   5.200000000e-02
7.200000000e+00   1.460000000e+00   1.300000000e-01
7.900000000e+00   1.220000000e+00   8.900000000e-02
8.200000000e+00   1.120000000e+00   1.200000000e-01
8.500000000e+00   1.060000000e+00   2.100000000e-01
8.700000000e+00   1.190000000e+00   2.900000000e-01
9.000000000e+00   1.850000000e+00   4.400000000e-01
9.200000000e+00   2.220000000e+00   5.400000000e-01
9.500000000e+00   2.940000000e+00   6.500000000e-01
9.800000000e+00   2.910000000e+00   6.500000000e-01
1.000000000e+01   2.570000000e+00   5.000000000e-01
1.060000000e+01   1.910000000e+00   2.500000000e-01
1.100000000e+01   1.830000000e+00   2.000000000e-01
1.150000000e+01   1.810000000e+00   3.500000000e-01
1.250000000e+01   1.740000000e+00   5.000000000e-01
1.300000000e+01   2.000000000e+00   3.500000000e-01
1.400000000e+01   1.630000000e+00   2.200000000e-01
1.480000000e+01   1.540000000e+00   2.400000000e-01
1.500000000e+01   1.510000000e+00   2.600000000e-01
1.640000000e+01   1.470000000e+00   3.200000000e-01
1.720000000e+01   1.490000000e+00   3.700000000e-01
1.800000000e+01   1.770000000e+00   4.700000000e-01
1.850000000e+01   2.050000000e+00   5.700000000e-01
2.000000000e+01   2.200000000e+00   8.200000000e-01
2.130000000e+01   2.390000000e+00   9.400000000e-01
2.250000000e+01   2.690000000e+00   1.000000000e+00
2.500000000e+01   2.990000000e+00   8.000000000e-01
2.790000000e+01   2.570000000e+00   7.800000000e-01
3.000000000e+01   2.420000000e+00   6.700000000e-01
3.500000000e+01   2.420000000e+00   6.200000000e-01
4.000000000e+01   2.340000000e+00   7.000000000e-01
