# 
# Refractive index taken form OPAC database 
# 
# Material :
# sea salt (acc., 80%) 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag  
#   [um]      
2.500000000e-01   1.381000000e+00   6.633000000e-07
3.000000000e-01   1.369000000e+00   2.676000000e-07
3.500000000e-01   1.364000000e+00   4.676000000e-08
4.000000000e-01   1.359000000e+00   5.428000000e-09
4.500000000e-01   1.358000000e+00   3.972000000e-09
5.000000000e-01   1.356000000e+00   2.839000000e-09
5.500000000e-01   1.354000000e+00   2.980000000e-09
6.000000000e-01   1.352000000e+00   1.155000000e-08
6.500000000e-01   1.351000000e+00   1.970000000e-08
7.000000000e-01   1.351000000e+00   5.461000000e-08
7.500000000e-01   1.350000000e+00   2.732000000e-07
8.000000000e-01   1.348000000e+00   3.564000000e-07
9.000000000e-01   1.347000000e+00   5.801000000e-06
1.000000000e+00   1.345000000e+00   2.040000000e-05
1.250000000e+00   1.342000000e+00   5.300000000e-05
1.500000000e+00   1.339000000e+00   2.469000000e-04
1.750000000e+00   1.330000000e+00   1.839000000e-04
2.000000000e+00   1.324000000e+00   1.087000000e-03
2.500000000e+00   1.282000000e+00   2.027000000e-03
3.000000000e+00   1.401000000e+00   2.388000000e-01
3.200000000e+00   1.480000000e+00   8.106000000e-02
3.390000000e+00   1.430000000e+00   2.047000000e-02
3.500000000e+00   1.410000000e+00   8.411000000e-03
3.750000000e+00   1.382000000e+00   3.234000000e-03
4.000000000e+00   1.367000000e+00   4.194000000e-03
4.500000000e+00   1.352000000e+00   1.188000000e-02
5.000000000e+00   1.343000000e+00   1.114000000e-02
5.500000000e+00   1.313000000e+00   1.059000000e-02
6.000000000e+00   1.283000000e+00   9.483000000e-02
6.200000000e+00   1.393000000e+00   7.963000000e-02
6.500000000e+00   1.354000000e+00   3.486000000e-02
7.200000000e+00   1.326000000e+00   2.892000000e-02
7.900000000e+00   1.307000000e+00   3.125000000e-02
8.200000000e+00   1.303000000e+00   3.319000000e-02
8.500000000e+00   1.304000000e+00   3.534000000e-02
8.700000000e+00   1.314000000e+00   3.690000000e-02
9.000000000e+00   1.311000000e+00   3.839000000e-02
9.200000000e+00   1.300000000e+00   3.956000000e-02
9.500000000e+00   1.286000000e+00   4.105000000e-02
9.800000000e+00   1.271000000e+00   4.385000000e-02
1.000000000e+01   1.259000000e+00   4.626000000e-02
1.060000000e+01   1.220000000e+00   6.063000000e-02
1.100000000e+01   1.194000000e+00   8.630000000e-02
1.150000000e+01   1.171000000e+00   1.258000000e-01
1.250000000e+01   1.161000000e+00   2.282000000e-01
1.300000000e+01   1.179000000e+00   2.686000000e-01
1.400000000e+01   1.235000000e+00   3.260000000e-01
1.480000000e+01   1.280000000e+00   3.496000000e-01
1.500000000e+01   1.293000000e+00   3.555000000e-01
1.640000000e+01   1.373000000e+00   3.843000000e-01
1.720000000e+01   1.431000000e+00   3.898000000e-01
1.800000000e+01   1.468000000e+00   3.885000000e-01
1.850000000e+01   1.484000000e+00   3.847000000e-01
2.000000000e+01   1.516000000e+00   3.624000000e-01
2.130000000e+01   1.525000000e+00   3.519000000e-01
2.250000000e+01   1.538000000e+00   3.459000000e-01
2.500000000e+01   1.560000000e+00   3.369000000e-01
2.790000000e+01   1.577000000e+00   3.309000000e-01
3.000000000e+01   1.579000000e+00   3.244000000e-01
3.500000000e+01   1.561000000e+00   3.568000000e-01
4.000000000e+01   1.547000000e+00   4.630000000e-01
