# 
# Refractive index taken form OPAC database 
# 
# Material :
# soot 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag  
#   [um]      
2.500000000e-01   1.620000000e+00   4.500000000e-01
3.000000000e-01   1.740000000e+00   4.700000000e-01
3.500000000e-01   1.750000000e+00   4.650000000e-01
4.000000000e-01   1.750000000e+00   4.600000000e-01
4.500000000e-01   1.750000000e+00   4.550000000e-01
5.000000000e-01   1.750000000e+00   4.500000000e-01
5.500000000e-01   1.750000000e+00   4.400000000e-01
6.000000000e-01   1.750000000e+00   4.350000000e-01
6.500000000e-01   1.750000000e+00   4.350000000e-01
7.000000000e-01   1.750000000e+00   4.300000000e-01
7.500000000e-01   1.750000000e+00   4.300000000e-01
8.000000000e-01   1.750000000e+00   4.300000000e-01
9.000000000e-01   1.750000000e+00   4.350000000e-01
1.000000000e+00   1.760000000e+00   4.400000000e-01
1.250000000e+00   1.760000000e+00   4.500000000e-01
1.500000000e+00   1.770000000e+00   4.600000000e-01
1.750000000e+00   1.790000000e+00   4.800000000e-01
2.000000000e+00   1.800000000e+00   4.900000000e-01
2.500000000e+00   1.820000000e+00   5.100000000e-01
3.000000000e+00   1.840000000e+00   5.400000000e-01
3.200000000e+00   1.860000000e+00   5.400000000e-01
3.390000000e+00   1.870000000e+00   5.495000000e-01
3.500000000e+00   1.880000000e+00   5.600000000e-01
3.750000000e+00   1.900000000e+00   5.700000000e-01
4.000000000e+00   1.920000000e+00   5.800000000e-01
4.500000000e+00   1.940000000e+00   5.900000000e-01
5.000000000e+00   1.970000000e+00   6.000000000e-01
5.500000000e+00   1.990000000e+00   6.100000000e-01
6.000000000e+00   2.020000000e+00   6.200000000e-01
6.200000000e+00   2.030000000e+00   6.250000000e-01
6.500000000e+00   2.040000000e+00   6.300000000e-01
7.200000000e+00   2.060000000e+00   6.500000000e-01
7.900000000e+00   2.120000000e+00   6.700000000e-01
8.200000000e+00   2.130000000e+00   6.800000000e-01
8.500000000e+00   2.150000000e+00   6.900000000e-01
8.700000000e+00   2.160000000e+00   6.900000000e-01
9.000000000e+00   2.170000000e+00   7.000000000e-01
9.200000000e+00   2.180000000e+00   7.000000000e-01
9.500000000e+00   2.190000000e+00   7.100000000e-01
9.800000000e+00   2.200000000e+00   7.150000000e-01
1.000000000e+01   2.210000000e+00   7.200000000e-01
1.060000000e+01   2.220000000e+00   7.300000000e-01
1.100000000e+01   2.230000000e+00   7.300000000e-01
1.150000000e+01   2.240000000e+00   7.400000000e-01
1.250000000e+01   2.270000000e+00   7.500000000e-01
1.300000000e+01   2.280000000e+00   7.600000000e-01
1.400000000e+01   2.310000000e+00   7.750000000e-01
1.480000000e+01   2.330000000e+00   7.900000000e-01
1.500000000e+01   2.330000000e+00   7.900000000e-01
1.640000000e+01   2.360000000e+00   8.100000000e-01
1.720000000e+01   2.380000000e+00   8.200000000e-01
1.800000000e+01   2.400000000e+00   8.250000000e-01
1.850000000e+01   2.410000000e+00   8.300000000e-01
2.000000000e+01   2.450000000e+00   8.500000000e-01
2.130000000e+01   2.460000000e+00   8.600000000e-01
2.250000000e+01   2.480000000e+00   8.700000000e-01
2.500000000e+01   2.510000000e+00   8.900000000e-01
2.790000000e+01   2.540000000e+00   9.100000000e-01
3.000000000e+01   2.570000000e+00   9.300000000e-01
3.500000000e+01   2.630000000e+00   9.700000000e-01
4.000000000e+01   2.690000000e+00   1.000000000e+00
