# 
# Refractive index taken form OPAC database 
# 
# Material :
# sulfate (90%) 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag  
#   [um]      
2.500000000e-01   1.379000000e+00   3.029000000e-08
3.000000000e-01   1.365000000e+00   1.518000000e-08
3.500000000e-01   1.358000000e+00   6.978000000e-09
4.000000000e-01   1.353000000e+00   2.971000000e-09
4.500000000e-01   1.350000000e+00   2.245000000e-09
5.000000000e-01   1.348000000e+00   2.228000000e-09
5.500000000e-01   1.346000000e+00   3.057000000e-09
6.000000000e-01   1.345000000e+00   1.142000000e-08
6.500000000e-01   1.344000000e+00   1.644000000e-08
7.000000000e-01   1.344000000e+00   3.173000000e-08
7.500000000e-01   1.343000000e+00   1.445000000e-07
8.000000000e-01   1.342000000e+00   1.197000000e-07
9.000000000e-01   1.341000000e+00   4.545000000e-07
1.000000000e+00   1.340000000e+00   2.704000000e-06
1.250000000e+00   1.335000000e+00   8.460000000e-06
1.500000000e+00   1.332000000e+00   1.891000000e-04
1.750000000e+00   1.324000000e+00   1.431000000e-04
2.000000000e+00   1.317000000e+00   1.122000000e-03
2.500000000e+00   1.272000000e+00   2.016000000e-03
3.000000000e+00   1.360000000e+00   2.479000000e-01
3.200000000e+00   1.455000000e+00   9.821000000e-02
3.390000000e+00   1.413000000e+00   4.152000000e-02
3.500000000e+00   1.397000000e+00   2.968000000e-02
3.750000000e+00   1.373000000e+00   2.090000000e-02
4.000000000e+00   1.356000000e+00   2.116000000e-02
4.500000000e+00   1.339000000e+00   2.794000000e-02
5.000000000e+00   1.330000000e+00   2.722000000e-02
5.500000000e+00   1.303000000e+00   3.499000000e-02
6.000000000e+00   1.287000000e+00   1.190000000e-01
6.200000000e+00   1.371000000e+00   9.851000000e-02
6.500000000e+00   1.343000000e+00   5.132000000e-02
7.200000000e+00   1.298000000e+00   5.173000000e-02
7.900000000e+00   1.273000000e+00   9.586000000e-02
8.200000000e+00   1.274000000e+00   1.183000000e-01
8.500000000e+00   1.291000000e+00   1.347000000e-01
8.700000000e+00   1.307000000e+00   1.381000000e-01
9.000000000e+00   1.315000000e+00   1.208000000e-01
9.200000000e+00   1.302000000e+00   1.158000000e-01
9.500000000e+00   1.301000000e+00   1.407000000e-01
9.800000000e+00   1.322000000e+00   1.341000000e-01
1.000000000e+01   1.310000000e+00   1.060000000e-01
1.060000000e+01   1.253000000e+00   1.046000000e-01
1.100000000e+01   1.224000000e+00   1.498000000e-01
1.150000000e+01   1.230000000e+00   1.737000000e-01
1.250000000e+01   1.207000000e+00   2.507000000e-01
1.300000000e+01   1.220000000e+00   2.900000000e-01
1.400000000e+01   1.269000000e+00   3.461000000e-01
1.480000000e+01   1.306000000e+00   3.699000000e-01
1.500000000e+01   1.314000000e+00   3.759000000e-01
1.640000000e+01   1.370000000e+00   4.252000000e-01
1.720000000e+01   1.432000000e+00   4.510000000e-01
1.800000000e+01   1.495000000e+00   3.735000000e-01
1.850000000e+01   1.509000000e+00   3.677000000e-01
2.000000000e+01   1.527000000e+00   3.426000000e-01
2.130000000e+01   1.530000000e+00   3.672000000e-01
2.250000000e+01   1.556000000e+00   3.238000000e-01
2.500000000e+01   1.585000000e+00   3.347000000e-01
2.790000000e+01   1.600000000e+00   3.173000000e-01
3.000000000e+01   1.601000000e+00   3.078000000e-01
3.500000000e+01   1.582000000e+00   3.161000000e-01
4.000000000e+01   1.570000000e+00   3.625000000e-01
