# 
# Refractive index taken form OPAC database 
# 
# Material :
# water soluble (80%) 
# 
#  nlambda = 
61 
# wavelength          ref.real         ref.imag  
#   [um]      
2.500000000e-01   1.418000000e+00   9.976000000e-03
3.000000000e-01   1.409000000e+00   2.660000000e-03
3.500000000e-01   1.405000000e+00   1.663000000e-03
4.000000000e-01   1.403000000e+00   1.663000000e-03
4.500000000e-01   1.401000000e+00   1.663000000e-03
5.000000000e-01   1.400000000e+00   1.663000000e-03
5.500000000e-01   1.399000000e+00   1.995000000e-03
6.000000000e-01   1.398000000e+00   1.995000000e-03
6.500000000e-01   1.397000000e+00   2.328000000e-03
7.000000000e-01   1.397000000e+00   2.328000000e-03
7.500000000e-01   1.397000000e+00   2.827000000e-03
8.000000000e-01   1.393000000e+00   3.325000000e-03
9.000000000e-01   1.392000000e+00   4.323000000e-03
1.000000000e+00   1.391000000e+00   5.156000000e-03
1.250000000e+00   1.385000000e+00   6.324000000e-03
1.500000000e+00   1.384000000e+00   7.616000000e-03
1.750000000e+00   1.365000000e+00   5.886000000e-03
2.000000000e+00   1.344000000e+00   3.395000000e-03
2.500000000e+00   1.314000000e+00   5.152000000e-03
3.000000000e+00   1.387000000e+00   1.889000000e-01
3.200000000e+00   1.462000000e+00   6.433000000e-02
3.390000000e+00   1.425000000e+00   1.779000000e-02
3.500000000e+00   1.417000000e+00   7.937000000e-03
3.750000000e+00   1.397000000e+00   3.666000000e-03
4.000000000e+00   1.386000000e+00   4.733000000e-03
4.500000000e+00   1.375000000e+00   1.327000000e-02
5.000000000e+00   1.367000000e+00   1.227000000e-02
5.500000000e+00   1.345000000e+00   1.373000000e-02
6.000000000e+00   1.313000000e+00   7.907000000e-02
6.200000000e+00   1.385000000e+00   6.772000000e-02
6.500000000e+00   1.379000000e+00   3.714000000e-02
7.200000000e+00   1.341000000e+00   4.470000000e-02
7.900000000e+00   1.263000000e+00   4.424000000e-02
8.200000000e+00   1.194000000e+00   5.668000000e-02
8.500000000e+00   1.285000000e+00   9.599000000e-02
8.700000000e+00   1.647000000e+00   1.217000000e-01
9.000000000e+00   1.694000000e+00   1.497000000e-01
9.200000000e+00   1.569000000e+00   1.674000000e-01
9.500000000e+00   1.478000000e+00   8.284000000e-02
9.800000000e+00   1.442000000e+00   6.356000000e-02
1.000000000e+01   1.418000000e+00   6.384000000e-02
1.060000000e+01   1.372000000e+00   6.826000000e-02
1.100000000e+01   1.342000000e+00   8.124000000e-02
1.150000000e+01   1.307000000e+00   1.104000000e-01
1.250000000e+01   1.288000000e+00   1.905000000e-01
1.300000000e+01   1.304000000e+00   2.219000000e-01
1.400000000e+01   1.326000000e+00   2.712000000e-01
1.480000000e+01   1.319000000e+00   2.976000000e-01
1.500000000e+01   1.320000000e+00   3.348000000e-01
1.640000000e+01   1.480000000e+00   3.382000000e-01
1.720000000e+01   1.617000000e+00   3.668000000e-01
1.800000000e+01   1.608000000e+00   3.442000000e-01
1.850000000e+01   1.578000000e+00   3.375000000e-01
2.000000000e+01   1.693000000e+00   3.355000000e-01
2.130000000e+01   1.680000000e+00   3.295000000e-01
2.250000000e+01   1.670000000e+00   3.268000000e-01
2.500000000e+01   1.647000000e+00   3.307000000e-01
2.790000000e+01   1.646000000e+00   3.227000000e-01
3.000000000e+01   1.640000000e+00   3.187000000e-01
3.500000000e+01   1.661000000e+00   3.573000000e-01
4.000000000e+01   1.632000000e+00   4.232000000e-01
