# 
# Monochromatic solar spectrum 
# Integrated value (W m-2) : 
1373.097
# Number of sampled values :
54154
# 
# lambda (microns)         Spectr. (W m-2 microns-1) 
1.84501845e-01  2.4997646e+00
1.84505249e-01  2.6424476e+00
1.84508653e-01  2.8278747e+00
1.84512058e-01  3.0837513e+00
1.84515462e-01  3.0540998e+00
1.84518867e-01  2.2190739e+00
1.84522272e-01  2.4802355e+00
1.84525677e-01  2.9392399e+00
1.84529082e-01  3.3050928e+00
1.84532487e-01  3.4320339e+00
1.84535892e-01  3.2835852e+00
1.84539298e-01  2.8868930e+00
1.84542703e-01  2.5499616e+00
1.84546109e-01  2.1908132e+00
1.84549515e-01  1.9062358e+00
1.84552921e-01  1.6330624e+00
1.84556327e-01  1.0570680e+00
1.84559733e-01  8.9094292e-01
1.84563139e-01  1.1644794e+00
1.84566545e-01  1.6664578e+00
1.84569952e-01  2.1435908e+00
1.84573359e-01  2.3860100e+00
1.84576765e-01  2.6663366e+00
1.84580172e-01  2.6200805e+00
1.84583579e-01  2.4069660e+00
1.84586987e-01  2.2632034e+00
1.84590394e-01  2.3923593e+00
1.84593801e-01  2.8559918e+00
1.84597209e-01  2.9986845e+00
1.84600617e-01  2.7743596e+00
1.84604024e-01  2.7360250e+00
1.84607432e-01  2.9140931e+00
1.84610840e-01  2.7965496e+00
1.84614249e-01  1.8052309e+00
1.84617657e-01  1.1725584e+00
1.84621065e-01  1.3722336e+00
1.84624474e-01  1.9680127e+00
1.84627883e-01  2.4250565e+00
1.84631291e-01  3.0510223e+00
1.84634700e-01  3.2883256e+00
1.84638109e-01  3.1429738e+00
1.84641518e-01  3.2346068e+00
1.84644928e-01  3.4977554e+00
1.84648337e-01  2.9863113e+00
1.84651747e-01  3.4096949e+00
1.84655156e-01  3.6819613e+00
1.84658566e-01  3.1579158e+00
1.84661976e-01  2.3786065e+00
1.84665386e-01  2.2401757e+00
1.84668797e-01  2.6935711e+00
1.84672207e-01  2.9910013e+00
1.84675617e-01  3.4232602e+00
1.84679028e-01  3.4202314e+00
1.84682439e-01  2.8291444e+00
1.84685849e-01  2.4056409e+00
1.84689260e-01  2.7378405e+00
1.84692671e-01  3.5670869e+00
1.84696083e-01  3.5639111e+00
1.84699494e-01  2.8314360e+00
1.84702905e-01  2.2788277e+00
1.84706317e-01  1.8629500e+00
1.84709729e-01  2.4091980e+00
1.84713140e-01  2.8178986e+00
1.84716552e-01  2.7477556e+00
1.84719965e-01  2.2668582e+00
1.84723377e-01  1.7871149e+00
1.84726789e-01  2.3846404e+00
1.84730202e-01  2.4397108e+00
1.84733614e-01  2.1560972e+00
1.84737027e-01  1.8743268e+00
1.84740440e-01  1.8647490e+00
1.84743853e-01  1.6556909e+00
1.84747266e-01  1.3378627e+00
1.84750679e-01  9.9243716e-01
1.84754092e-01  8.2298932e-01
1.84757506e-01  9.7270810e-01
1.84760919e-01  1.3760553e+00
1.84764333e-01  1.8388382e+00
1.84767747e-01  2.1555165e+00
1.84771161e-01  2.2971305e+00
1.84774575e-01  2.3318494e+00
1.84777989e-01  2.4137573e+00
1.84781404e-01  2.6151230e+00
1.84784818e-01  2.5555399e+00
1.84788233e-01  2.5269185e+00
1.84791647e-01  2.4727719e+00
1.84795062e-01  2.1949893e+00
1.84798477e-01  1.5372000e+00
1.84801892e-01  2.2017706e+00
1.84805308e-01  2.4944637e+00
1.84808723e-01  2.5485552e+00
1.84812138e-01  2.4225610e+00
1.84815554e-01  1.8771368e+00
1.84818970e-01  1.1549183e+00
1.84822386e-01  9.5438845e-01
1.84825802e-01  1.2555235e+00
1.84829218e-01  1.6727632e+00
1.84832634e-01  1.7970444e+00
1.84836050e-01  1.8467030e+00
1.84839467e-01  1.9767774e+00
1.84842884e-01  2.4643530e+00
1.84846300e-01  2.9085242e+00
1.84849717e-01  3.0575339e+00
1.84853134e-01  2.9533277e+00
1.84856551e-01  2.5054557e+00
1.84859969e-01  2.8287455e+00
1.84863386e-01  2.8602555e+00
1.84866803e-01  2.5710185e+00
1.84870221e-01  2.3483139e+00
1.84873639e-01  2.3071916e+00
1.84877057e-01  1.8840194e+00
1.84880475e-01  1.5689382e+00
1.84883893e-01  1.6746638e+00
1.84887311e-01  2.2325016e+00
1.84890730e-01  2.9340856e+00
1.84894148e-01  3.2328820e+00
1.84897567e-01  3.3704570e+00
1.84900986e-01  3.4220077e+00
1.84904404e-01  3.3591388e+00
1.84907823e-01  3.1526260e+00
1.84911243e-01  2.9740756e+00
1.84914662e-01  3.5586950e+00
1.84918081e-01  3.3408295e+00
1.84921501e-01  3.0858894e+00
1.84924920e-01  3.3758066e+00
1.84928340e-01  4.1183567e+00
1.84931760e-01  3.7800458e+00
1.84935180e-01  3.0904200e+00
1.84938600e-01  2.8408394e+00
1.84942021e-01  2.8458284e+00
1.84945441e-01  2.7801556e+00
