#
# Surface albedo : Conifer
#
# Number of sampled values :
 208
# wavelength        albedo
#  (microns)
    0.20000000    0.01800000
    0.20242915    0.01800000
    0.20408164    0.01800000
    0.20576131    0.01800000
    0.20746888    0.01800000
    0.20920502    0.01800000
    0.21097046    0.01800000
    0.21276596    0.01800000
    0.21459228    0.01800000
    0.21645021    0.01800000
    0.21834061    0.01800000
    0.22026432    0.01800000
    0.22222222    0.01800000
    0.22421524    0.01800000
    0.22624435    0.01800000
    0.22831050    0.01800000
    0.23041475    0.01800000
    0.23255815    0.01800000
    0.23474178    0.01800000
    0.23696682    0.01800000
    0.23923445    0.01800000
    0.24154590    0.01800000
    0.24390244    0.01800000
    0.24630542    0.01800000
    0.24875621    0.01800000
    0.25125629    0.01800000
    0.25380710    0.01800000
    0.25641027    0.01800000
    0.25906736    0.01800000
    0.26178011    0.01800000
    0.26455027    0.01800000
    0.26737967    0.01800000
    0.27027026    0.01800000
    0.27322406    0.01800000
    0.27624309    0.01800000
    0.27932960    0.01800000
    0.28248587    0.01800000
    0.28571430    0.01800000
    0.28901735    0.01800000
    0.29239765    0.01800000
    0.29585800    0.01800000
    0.29940119    0.01800000
    0.30303031    0.01800000
    0.30674848    0.01800000
    0.31055900    0.01800000
    0.31446540    0.01800000
    0.31847134    0.01800000
    0.32258064    0.01800000
    0.32679740    0.01800000
    0.33112583    0.01800000
    0.33557048    0.01800000
    0.34013605    0.01800000
    0.34482759    0.01800000
    0.34965035    0.01800000
    0.35460994    0.01800000
    0.35971224    0.01800000
    0.36496350    0.01800000
    0.37037036    0.01800000
    0.37593985    0.01800000
    0.38167939    0.01800000
    0.38759691    0.01800000
    0.39370078    0.01800000
    0.40000001    0.01800000
    0.40650406    0.01800000
    0.41322315    0.01800000
    0.42016807    0.01800000
    0.42735043    0.01800000
    0.43478259    0.01800000
    0.44247788    0.01800000
    0.45045045    0.01800000
    0.45871559    0.01800000
    0.46728972    0.01800000
    0.47619048    0.01800000
    0.48543689    0.01800000
    0.49504951    0.01800000
    0.50505048    0.01800000
    0.51546389    0.01800000
    0.52631581    0.01917090
    0.53763443    0.02035960
    0.54945058    0.02154830
    0.56179774    0.02273700
    0.57471263    0.02392570
    0.58823532    0.02511440
    0.60240966    0.02640720
    0.61728394    0.02800400
    0.63291138    0.02960080
    0.64935064    0.03109090
    0.66666669    0.03254550
    0.68493152    0.03400000
    0.69686413    0.04346580
    0.70175439    0.05293160
    0.70671380    0.06239740
    0.71174377    0.07186320
    0.71684587    0.08132900
    0.72202164    0.09079480
    0.72727275    0.10026100
    0.73260075    0.10972600
    0.73800737    0.11919200
    0.74349445    0.12865800
    0.74906367    0.13518500
    0.75471699    0.13574500
    0.76045626    0.13630500
    0.76628351    0.13686401
    0.77220076    0.13742401
    0.77821010    0.13798399
    0.78431374    0.13854399
    0.79051381    0.13910399
    0.79681277    0.13966399
    0.80321288    0.14022399
    0.80971658    0.14078400
    0.81632656    0.14134400
    0.82304525    0.14190400
    0.82987553    0.14246400
    0.83682007    0.14302400
    0.84388185    0.14358300
    0.85106385    0.14414300
    0.85836911    0.14470300
    0.86580086    0.14531399
    0.87336242    0.14598300
    0.88105726    0.14665100
    0.88888890    0.14732000
    0.89686096    0.14798900
    0.90497738    0.14865699
    0.91324198    0.14932600
    0.92165899    0.14999400
    0.93023258    0.15066300
    0.93896711    0.15133099
    0.94786727    0.15200000
    0.95693779    0.15279999
    0.96618360    0.15360001
    0.97560978    0.15440001
    0.98522168    0.15520000
    0.99502486    0.15600000
    1.00502510    0.15680000
    1.01522840    0.15760000
    1.02564110    0.15840000
    1.03626940    0.15920000
    1.04712050    0.16000000
    1.05820110    0.16110000
    1.06951870    0.16219901
    1.08108100    0.16329899
    1.09289620    0.16439900
    1.10497240    0.16549800
    1.11731840    0.16659801
    1.12994350    0.16769800
    1.14285720    0.16879700
    1.15606940    0.16989700
    1.16959060    0.17099699
    1.18343200    0.17209600
    1.19760480    0.17319600
    1.21212120    0.17429601
    1.22699390    0.17539500
    1.24223600    0.17414799
    1.25786160    0.17003299
    1.27388540    0.16591901
    1.29032250    0.16180401
    1.30718960    0.15768901
    1.32450330    0.15357400
    1.34228190    0.14945900
    1.36054420    0.14534400
    1.37931040    0.14123000
    1.39860140    0.13711500
    1.41843970    0.13300000
    1.43884900    0.12757000
    1.45985400    0.12213900
    1.48148140    0.11670900
    1.50375940    0.11127900
    1.52671750    0.10584800
    1.55038760    0.10041800
    1.57480310    0.09498770
    1.60000000    0.08955740
    1.62601630    0.08412700
    1.65289260    0.07923760
    1.68067230    0.07606080
    1.70940170    0.07288400
    1.73913040    0.06970720
    1.76991150    0.06653040
    1.80180180    0.06335360
    1.83486240    0.06017680
    1.86915890    0.05700000
    1.90476190    0.05276160
    1.94174750    0.04852320
    1.98019800    0.04428480
    2.02020190    0.04004640
    2.06185560    0.03580790
    2.10526320    0.03156950
    2.15053770    0.02733110
    2.19780230    0.02500000
    2.24719100    0.02500000
    2.29885050    0.02500000
    2.35294130    0.02500000
    2.40963860    0.02500000
    2.46913580    0.02500000
    2.53164550    0.02500000
    2.59740260    0.02500000
    2.66666670    0.02500000
    2.73972610    0.02500000
    2.81690140    0.02500000
    2.89855070    0.02500000
    2.98507450    0.02500000
    3.07692310    0.02500000
    3.17460320    0.02500000
    3.27868840    0.02500000
    3.38983060    0.02500000
    3.50877190    0.02500000
    3.63636370    0.02500000
    3.77358480    0.02500000
    3.92156860    0.02500000
