#
# Surface albedo : fresh ice
#
# Number of sampled values :
 208
# wavelength        albedo
#  (microns)
    0.20000000    0.60000002
    0.20242915    0.60200000
    0.20408164    0.60299999
    0.20576131    0.60399997
    0.20746888    0.60500002
    0.20920502    0.60600001
    0.21097046    0.60699999
    0.21276596    0.60900003
    0.21459228    0.61000001
    0.21645021    0.61100000
    0.21834061    0.61299998
    0.22026432    0.61400002
    0.22222222    0.61600000
    0.22421524    0.61699998
    0.22624435    0.61900002
    0.22831050    0.62000000
    0.23041475    0.62199998
    0.23255815    0.62300003
    0.23474178    0.62500000
    0.23696682    0.62599999
    0.23923445    0.62800002
    0.24154590    0.62900001
    0.24390244    0.63099998
    0.24630542    0.63200003
    0.24875621    0.63400000
    0.25125629    0.63599998
    0.25380710    0.63700002
    0.25641027    0.63900000
    0.25906736    0.63999999
    0.26178011    0.64099997
    0.26455027    0.64300001
    0.26737967    0.64399999
    0.27027026    0.64600003
    0.27322406    0.64700001
    0.27624309    0.64800000
    0.27932960    0.64999998
    0.28248587    0.65100002
    0.28571430    0.65200001
    0.28901735    0.65300000
    0.29239765    0.65399998
    0.29585800    0.65499997
    0.29940119    0.65600002
    0.30303031    0.65700001
    0.30674848    0.65799999
    0.31055900    0.65899998
    0.31446540    0.66000003
    0.31847134    0.66000003
    0.32258064    0.66100001
    0.32679740    0.66200000
    0.33112583    0.66200000
    0.33557048    0.66299999
    0.34013605    0.66299999
    0.34482759    0.66299999
    0.34965035    0.66299999
    0.35460994    0.66299999
    0.35971224    0.66299999
    0.36496350    0.66299999
    0.37037036    0.66299999
    0.37593985    0.66200000
    0.38167939    0.66200000
    0.38759691    0.66100001
    0.39370078    0.66100001
    0.40000001    0.66000003
    0.40650406    0.65899998
    0.41322315    0.65799999
    0.42016807    0.65799999
    0.42735043    0.65700001
    0.43478259    0.65799999
    0.44247788    0.65799999
    0.45045045    0.66000003
    0.45871559    0.66299999
    0.46728972    0.66600001
    0.47619048    0.67000002
    0.48543689    0.67400002
    0.49504951    0.67799997
    0.50505048    0.68199998
    0.51546389    0.68599999
    0.52631581    0.68800002
    0.53763443    0.69000000
    0.54945058    0.69000000
    0.56179774    0.68800002
    0.57471263    0.68500000
    0.58823532    0.68199998
    0.60240966    0.68000001
    0.61728394    0.67799997
    0.63291138    0.67500001
    0.64935064    0.67000002
    0.66666669    0.66100001
    0.68493152    0.64999998
    0.69686413    0.64200002
    0.70175439    0.63900000
    0.70671380    0.63599998
    0.71174377    0.63300002
    0.71684587    0.63000000
    0.72202164    0.62699997
    0.72727275    0.62400001
    0.73260075    0.62000000
    0.73800737    0.61699998
    0.74349445    0.61400002
    0.74906367    0.61100000
    0.75471699    0.60699999
    0.76045626    0.60299999
    0.76628351    0.60000002
    0.77220076    0.59600002
    0.77821010    0.59200001
    0.78431374    0.58899999
    0.79051381    0.58499998
    0.79681277    0.58200002
    0.80321288    0.57800001
    0.80971658    0.57499999
    0.81632656    0.57200003
    0.82304525    0.56800002
    0.82987553    0.56400001
    0.83682007    0.56000000
    0.84388185    0.55500001
    0.85106385    0.54900002
    0.85836911    0.54200000
    0.86580086    0.53500003
    0.87336242    0.52700001
    0.88105726    0.51899999
    0.88888890    0.51099998
    0.89686096    0.50300002
    0.90497738    0.49500000
    0.91324198    0.48800001
    0.92165899    0.47900000
    0.93023258    0.47000000
    0.93896711    0.45800000
    0.94786727    0.44400001
    0.95693779    0.42600000
    0.96618360    0.40599999
    0.97560978    0.38600001
    0.98522168    0.36500001
    0.99502486    0.34799999
    1.00502510    0.33300000
    1.01522840    0.32400000
    1.02564110    0.31799999
    1.03626940    0.31700000
    1.04712050    0.31900001
    1.05820110    0.32400000
    1.06951870    0.33100000
    1.08108100    0.33800000
    1.09289620    0.34099999
    1.10497240    0.33800000
    1.11731840    0.32900000
    1.12994350    0.31299999
    1.14285720    0.29300001
    1.15606940    0.26800001
    1.16959060    0.24100000
    1.18343200    0.21200000
    1.19760480    0.18400000
    1.21212120    0.15899999
    1.22699390    0.13900000
    1.24223600    0.12400000
    1.25786160    0.11800000
    1.27388540    0.12100000
    1.29032250    0.13100000
    1.30718960    0.14800000
    1.32450330    0.16400000
    1.34228190    0.16700000
    1.36054420    0.14200000
    1.37931040    0.09600000
    1.39860140    0.05200000
    1.41843970    0.02900000
    1.43884900    0.02200000
    1.45985400    0.01800000
    1.48148140    0.01400000
    1.50375940    0.00900000
    1.52671750    0.00600000
    1.55038760    0.00500000
    1.57480310    0.00500000
    1.60000000    0.00500000
    1.62601630    0.00500000
    1.65289260    0.00500000
    1.68067230    0.00800000
    1.70940170    0.01100000
    1.73913040    0.01500000
    1.76991150    0.01500000
    1.80180180    0.02100000
    1.83486240    0.04400000
    1.86915890    0.08200000
    1.90476190    0.09900000
    1.94174750    0.06000000
    1.98019800    0.02100000
    2.02020190    0.00600000
    2.06185560    0.00400000
    2.10526320    0.00000000
    2.15053770    0.00000000
    2.19780230    0.00000000
    2.24719100    0.00000000
    2.29885050    0.00000000
    2.35294130    0.00000000
    2.40963860    0.00000000
    2.46913580    0.00000000
    2.53164550    0.00000000
    2.59740260    0.00000000
    2.66666670    0.00000000
    2.73972610    0.00000000
    2.81690140    0.00000000
    2.89855070    0.00000000
    2.98507450    0.00000000
    3.07692310    0.00000000
    3.17460320    0.00000000
    3.27868840    0.00000000
    3.38983060    0.00000000
    3.50877190    0.00000000
    3.63636370    0.00000000
    3.77358480    0.00000000
    3.92156860    0.00000000
