#
# Surface albedo : Pasture land
#
# Number of sampled values :
 208
# wavelength        albedo
#  (microns)
    0.20000000    0.02700000
    0.20242915    0.02700000
    0.20408164    0.02700000
    0.20576131    0.02700000
    0.20746888    0.02700000
    0.20920502    0.02700000
    0.21097046    0.02700000
    0.21276596    0.02700000
    0.21459228    0.02700000
    0.21645021    0.02700000
    0.21834061    0.02700000
    0.22026432    0.02700000
    0.22222222    0.02700000
    0.22421524    0.02700000
    0.22624435    0.02700000
    0.22831050    0.02700000
    0.23041475    0.02700000
    0.23255815    0.02700000
    0.23474178    0.02700000
    0.23696682    0.02700000
    0.23923445    0.02700000
    0.24154590    0.02700000
    0.24390244    0.02700000
    0.24630542    0.02700000
    0.24875621    0.02700000
    0.25125629    0.02700000
    0.25380710    0.02700000
    0.25641027    0.02700000
    0.25906736    0.02700000
    0.26178011    0.02700000
    0.26455027    0.02700000
    0.26737967    0.02700000
    0.27027026    0.02700000
    0.27322406    0.02700000
    0.27624309    0.02700000
    0.27932960    0.02700000
    0.28248587    0.02700000
    0.28571430    0.02700000
    0.28901735    0.02700000
    0.29239765    0.02700000
    0.29585800    0.02700000
    0.29940119    0.02700000
    0.30303031    0.02700000
    0.30674848    0.02700000
    0.31055900    0.02700000
    0.31446540    0.02700000
    0.31847134    0.02700000
    0.32258064    0.02700000
    0.32679740    0.02700000
    0.33112583    0.02700000
    0.33557048    0.02700000
    0.34013605    0.02700000
    0.34482759    0.02700000
    0.34965035    0.02700000
    0.35460994    0.02700000
    0.35971224    0.02700000
    0.36496350    0.02700000
    0.37037036    0.02700000
    0.37593985    0.02700000
    0.38167939    0.02700000
    0.38759691    0.02700000
    0.39370078    0.02700000
    0.40000001    0.02700000
    0.40650406    0.02700000
    0.41322315    0.02700000
    0.42016807    0.02700000
    0.42735043    0.02732070
    0.43478259    0.02848690
    0.44247788    0.02965310
    0.45045045    0.03081920
    0.45871559    0.03198540
    0.46728972    0.03315160
    0.47619048    0.03431780
    0.48543689    0.03548400
    0.49504951    0.03665010
    0.50505048    0.03781630
    0.51546389    0.03898250
    0.52631581    0.04178080
    0.53763443    0.04460400
    0.54945058    0.04742720
    0.56179774    0.05025040
    0.57471263    0.05307360
    0.58823532    0.05589670
    0.60240966    0.05891620
    0.61728394    0.06250900
    0.63291138    0.06610180
    0.64935064    0.07000000
    0.66666669    0.07400000
    0.68493152    0.07800000
    0.69686413    0.10742800
    0.70175439    0.13685700
    0.70671380    0.16628499
    0.71174377    0.19571300
    0.71684587    0.22514200
    0.72202164    0.25457001
    0.72727275    0.28399801
    0.73260075    0.31342599
    0.73800737    0.34285501
    0.74349445    0.37228301
    0.74906367    0.39240599
    0.75471699    0.39363801
    0.76045626    0.39487001
    0.76628351    0.39610201
    0.77220076    0.39733401
    0.77821010    0.39856601
    0.78431374    0.39979699
    0.79051381    0.40102899
    0.79681277    0.40226099
    0.80321288    0.40349299
    0.80971658    0.40472499
    0.81632656    0.40595600
    0.82304525    0.40718800
    0.82987553    0.40842000
    0.83682007    0.40965199
    0.84388185    0.41088399
    0.85106385    0.41211501
    0.85836911    0.41334701
    0.86580086    0.41444901
    0.87336242    0.41540399
    0.88105726    0.41635901
    0.88888890    0.41731399
    0.89686096    0.41826901
    0.90497738    0.41922399
    0.91324198    0.42017999
    0.92165899    0.42113501
    0.93023258    0.42208999
    0.93896711    0.42304501
    0.94786727    0.42399999
    0.95693779    0.42660001
    0.96618360    0.42919999
    0.97560978    0.43180001
    0.98522168    0.43439999
    0.99502486    0.43700001
    1.00502510    0.43959999
    1.01522840    0.44220001
    1.02564110    0.44479999
    1.03626940    0.44740000
    1.04712050    0.44999999
    1.05820110    0.45240501
    1.06951870    0.45481101
    1.08108100    0.45721701
    1.09289620    0.45962200
    1.10497240    0.46202701
    1.11731840    0.46443301
    1.12994350    0.46683800
    1.14285720    0.46924400
    1.15606940    0.47164899
    1.16959060    0.47405499
    1.18343200    0.47646001
    1.19760480    0.47886601
    1.21212120    0.48127100
    1.22699390    0.48367700
    1.24223600    0.48250201
    1.25786160    0.47695199
    1.27388540    0.47140199
    1.29032250    0.46585199
    1.30718960    0.46030101
    1.32450330    0.45475101
    1.34228190    0.44920099
    1.36054420    0.44365099
    1.37931040    0.43810001
    1.39860140    0.43255001
    1.41843970    0.42699999
    1.43884900    0.41962299
    1.45985400    0.41224599
    1.48148140    0.40486899
    1.50375940    0.39749199
    1.52671750    0.39011499
    1.55038760    0.38273799
    1.57480310    0.37536100
    1.60000000    0.36798400
    1.62601630    0.36060700
    1.65289260    0.35185099
    1.68067230    0.33872899
    1.70940170    0.32560799
    1.73913040    0.31248599
    1.76991150    0.29936501
    1.80180180    0.28624299
    1.83486240    0.27312201
    1.86915890    0.25999999
    1.90476190    0.24317899
    1.94174750    0.22635800
    1.98019800    0.20953600
    2.02020190    0.19271500
    2.06185560    0.17589401
    2.10526320    0.15907300
    2.15053770    0.14225200
    2.19780230    0.13300000
    2.24719100    0.13300000
    2.29885050    0.13300000
    2.35294130    0.13300000
    2.40963860    0.13300000
    2.46913580    0.13300000
    2.53164550    0.13300000
    2.59740260    0.13300000
    2.66666670    0.13300000
    2.73972610    0.13300000
    2.81690140    0.13300000
    2.89855070    0.13300000
    2.98507450    0.13300000
    3.07692310    0.13300000
    3.17460320    0.13300000
    3.27868840    0.13300000
    3.38983060    0.13300000
    3.50877190    0.13300000
    3.63636370    0.13300000
    3.77358480    0.13300000
    3.92156860    0.13300000
