#
# Surface albedo : Sand
#
# Number of sampled values :
 209
# wavelength        albedo
#  (microns)
    0.20000000    0.09100000
    0.20242915    0.09100000
    0.20408164    0.09100000
    0.20576131    0.09100000
    0.20746888    0.09100000
    0.20920502    0.09100000
    0.21097046    0.09100000
    0.21276596    0.09100000
    0.21459228    0.09100000
    0.21645021    0.09100000
    0.21834061    0.09100000
    0.22026432    0.09100000
    0.22222222    0.09100000
    0.22421524    0.09100000
    0.22624435    0.09100000
    0.22831050    0.09100000
    0.23041475    0.09100000
    0.23255815    0.09100000
    0.23474178    0.09100000
    0.23696682    0.09100000
    0.23923445    0.09100000
    0.24154590    0.09100000
    0.24390244    0.09100000
    0.24630542    0.09100000
    0.24875621    0.09100000
    0.25125629    0.09100000
    0.25380710    0.09100000
    0.25641027    0.09100000
    0.25906736    0.09100000
    0.26178011    0.09100000
    0.26455027    0.09100000
    0.26737967    0.09100000
    0.27027026    0.09100000
    0.27322406    0.09100000
    0.27624309    0.09100000
    0.27932960    0.09100000
    0.28248587    0.09100000
    0.28571430    0.09100000
    0.28901735    0.09100000
    0.29239765    0.09100000
    0.29585800    0.09100000
    0.29940119    0.09100000
    0.30303031    0.09100000
    0.30674848    0.09100000
    0.31055900    0.09100000
    0.31446540    0.09100000
    0.31847134    0.09100000
    0.32258064    0.09100000
    0.32679740    0.09100000
    0.33112583    0.09100000
    0.33557048    0.09100000
    0.34013605    0.09100000
    0.34482759    0.09100000
    0.34965035    0.09100000
    0.35460994    0.09100000
    0.35971224    0.09100000
    0.36496350    0.09100000
    0.37037036    0.09100000
    0.37593985    0.09100000
    0.38167939    0.09100000
    0.38759691    0.09100000
    0.39370078    0.09100010
    0.40000001    0.09287190
    0.40650406    0.09500000
    0.41322315    0.09500000
    0.42016807    0.09501180
    0.42735043    0.09478020
    0.43478259    0.09699440
    0.44247788    0.10096800
    0.45045045    0.10323300
    0.45871559    0.10699500
    0.46728972    0.10701300
    0.47619048    0.11428200
    0.48543689    0.12109900
    0.49504951    0.12551001
    0.50505048    0.12794900
    0.51546389    0.13261700
    0.52631581    0.13400000
    0.53763443    0.13331200
    0.54945058    0.14726800
    0.56179774    0.15568300
    0.57471263    0.16293301
    0.58823532    0.17245500
    0.60240966    0.18617199
    0.61728394    0.20396900
    0.63291138    0.21015599
    0.64935064    0.21623100
    0.66666669    0.22156601
    0.68493152    0.22522999
    0.69686413    0.23000900
    0.70175439    0.23390700
    0.70671380    0.23671000
    0.71174377    0.24050801
    0.71684587    0.24469800
    0.72202164    0.24607299
    0.72727275    0.24747200
    0.73260075    0.25081801
    0.73800737    0.25419101
    0.74349445    0.25686499
    0.74906367    0.26165900
    0.75471699    0.26321599
    0.76045626    0.26284200
    0.76628351    0.26641500
    0.77220076    0.27119499
    0.77821010    0.27482000
    0.78431374    0.27893099
    0.79051381    0.27952701
    0.79681277    0.28350401
    0.80321288    0.28401300
    0.80971658    0.28467500
    0.81632656    0.28617999
    0.82304525    0.28663701
    0.82987553    0.29168099
    0.83682007    0.29198101
    0.84388185    0.29201201
    0.85106385    0.29204100
    0.85836911    0.29169700
    0.86580086    0.29505101
    0.87336242    0.29799399
    0.88105726    0.30012301
    0.88888890    0.30253199
    0.89686096    0.30610099
    0.90497738    0.30983001
    0.91324198    0.31443799
    0.92165899    0.31477201
    0.93023258    0.31594300
    0.93896711    0.31593701
    0.94786727    0.31913900
    0.95693779    0.32100001
    0.96618360    0.32100999
    0.97560978    0.32397500
    0.98522168    0.32380301
    0.99502486    0.32217500
    1.00502510    0.32007301
    1.01522840    0.31684899
    1.02564110    0.31977400
    1.03626940    0.32061699
    1.04712050    0.32529700
    1.05820110    0.32699099
    1.06951870    0.33032700
    1.08108100    0.33199999
    1.09289620    0.33399799
    1.10497240    0.34185100
    1.11731840    0.35274199
    1.12994350    0.35280901
    1.14285720    0.35489199
    1.15606940    0.35278901
    1.16959060    0.35307500
    1.18343200    0.35628399
    1.19760480    0.35832101
    1.21212120    0.36242700
    1.22699390    0.36715201
    1.24223600    0.37030801
    1.25786160    0.36995301
    1.27388540    0.36591801
    1.29032250    0.36175001
    1.30718960    0.35906801
    1.32450330    0.36293000
    1.34228190    0.36800700
    1.36054420    0.36871201
    1.37931040    0.37194800
    1.39860140    0.37499401
    1.41843970    0.37500000
    1.43884900    0.37504101
    1.45985400    0.37700599
    1.48148140    0.37700000
    1.50375940    0.37900001
    1.52671750    0.38196599
    1.55038760    0.38499501
    1.57480310    0.38801599
    1.60000000    0.39107001
    1.62601630    0.39100501
    1.65289260    0.39399701
    1.68067230    0.39593899
    1.70940170    0.39298999
    1.73913040    0.37851599
    1.76991150    0.37101799
    1.80180180    0.37075400
    1.83486240    0.37904501
    1.86915890    0.38811299
    1.90476190    0.39432999
    1.94174750    0.38489899
    1.98019800    0.38114899
    2.02020190    0.37317500
    2.06185560    0.36899999
    2.10526320    0.36899999
    2.15053770    0.36899999
    2.19780230    0.36899999
    2.24719100    0.36899999
    2.29885050    0.36899999
    2.35294130    0.36899999
    2.40963860    0.36899999
    2.46913580    0.36899999
    2.53164550    0.36899999
    2.59740260    0.36899999
    2.66666670    0.36899999
    2.73972610    0.36899999
    2.81690140    0.36899999
    2.89855070    0.36899999
    2.98507450    0.36899999
    3.07692310    0.36899999
    3.17460320    0.36899999
    3.27868840    0.36899999
    3.38983060    0.36899999
    3.50877190    0.36899999
    3.63636370    0.36899999
    3.77358480    0.36899999
    3.92156860    0.36899999
    4.50000000    0.36899999
