#
# Surface albedo : Savannah
#
# Number of sampled values :
 208
# wavelength        albedo
#  (microns)
    0.20000000    0.00900000
    0.20242915    0.00900000
    0.20408164    0.00900000
    0.20576131    0.00900000
    0.20746888    0.00900000
    0.20920502    0.00900000
    0.21097046    0.00900000
    0.21276596    0.00900000
    0.21459228    0.00900000
    0.21645021    0.00900000
    0.21834061    0.00900000
    0.22026432    0.00900000
    0.22222222    0.00900000
    0.22421524    0.00900000
    0.22624435    0.00900000
    0.22831050    0.00900000
    0.23041475    0.00900000
    0.23255815    0.00900000
    0.23474178    0.00900000
    0.23696682    0.00900000
    0.23923445    0.00900000
    0.24154590    0.00900000
    0.24390244    0.00900000
    0.24630542    0.00900000
    0.24875621    0.00900000
    0.25125629    0.00900000
    0.25380710    0.00900000
    0.25641027    0.00900000
    0.25906736    0.00900000
    0.26178011    0.00900000
    0.26455027    0.00900000
    0.26737967    0.00900000
    0.27027026    0.00900000
    0.27322406    0.00900000
    0.27624309    0.00900000
    0.27932960    0.00900000
    0.28248587    0.00900000
    0.28571430    0.00900000
    0.28901735    0.00900000
    0.29239765    0.00900000
    0.29585800    0.00900000
    0.29940119    0.00900000
    0.30303031    0.00900000
    0.30674848    0.00900000
    0.31055900    0.00900000
    0.31446540    0.00900000
    0.31847134    0.00900000
    0.32258064    0.00900000
    0.32679740    0.00900000
    0.33112583    0.00900000
    0.33557048    0.00900000
    0.34013605    0.00900000
    0.34482759    0.00900000
    0.34965035    0.00900000
    0.35460994    0.00900000
    0.35971224    0.00900000
    0.36496350    0.00900000
    0.37037036    0.00900000
    0.37593985    0.00900000
    0.38167939    0.00900000
    0.38759691    0.00900000
    0.39370078    0.00900000
    0.40000001    0.00900000
    0.40650406    0.00900000
    0.41322315    0.00900000
    0.42016807    0.00900000
    0.42735043    0.00998882
    0.43478259    0.01358450
    0.44247788    0.01718030
    0.45045045    0.02077600
    0.45871559    0.02437170
    0.46728972    0.02796740
    0.47619048    0.03156320
    0.48543689    0.03515890
    0.49504951    0.03875460
    0.50505048    0.04235030
    0.51546389    0.04594610
    0.52631581    0.05375710
    0.53763443    0.06163220
    0.54945058    0.06950740
    0.56179774    0.07738260
    0.57471263    0.08525780
    0.58823532    0.09313300
    0.60240966    0.10032300
    0.61728394    0.10551300
    0.63291138    0.11070300
    0.64935064    0.11663600
    0.66666669    0.12281800
    0.68493152    0.12899999
    0.69686413    0.13068700
    0.70175439    0.13237400
    0.70671380    0.13406099
    0.71174377    0.13574800
    0.71684587    0.13743500
    0.72202164    0.13912199
    0.72727275    0.14080900
    0.73260075    0.14249600
    0.73800737    0.14418299
    0.74349445    0.14587000
    0.74906367    0.14772099
    0.75471699    0.14990400
    0.76045626    0.15208800
    0.76628351    0.15427200
    0.77220076    0.15645500
    0.77821010    0.15863900
    0.78431374    0.16082300
    0.79051381    0.16300599
    0.79681277    0.16519000
    0.80321288    0.16737300
    0.80971658    0.16955701
    0.81632656    0.17174099
    0.82304525    0.17392400
    0.82987553    0.17610800
    0.83682007    0.17829201
    0.84388185    0.18047500
    0.85106385    0.18265900
    0.85836911    0.18484300
    0.86580086    0.18662800
    0.87336242    0.18796600
    0.88105726    0.18930300
    0.88888890    0.19064000
    0.89686096    0.19197699
    0.90497738    0.19331400
    0.91324198    0.19465099
    0.92165899    0.19598900
    0.93023258    0.19732600
    0.93896711    0.19866300
    0.94786727    0.20000000
    0.95693779    0.20170000
    0.96618360    0.20340000
    0.97560978    0.20510000
    0.98522168    0.20680000
    0.99502486    0.20850000
    1.00502510    0.21020000
    1.01522840    0.21190000
    1.02564110    0.21359999
    1.03626940    0.21529999
    1.04712050    0.21699999
    1.05820110    0.21919900
    1.06951870    0.22139899
    1.08108100    0.22359800
    1.09289620    0.22579700
    1.10497240    0.22799700
    1.11731840    0.23019600
    1.12994350    0.23239499
    1.14285720    0.23459400
    1.15606940    0.23679399
    1.16959060    0.23899300
    1.18343200    0.24119200
    1.19760480    0.24339201
    1.21212120    0.24559100
    1.22699390    0.24778999
    1.24223600    0.25167000
    1.25786160    0.25760299
    1.27388540    0.26353601
    1.29032250    0.26946899
    1.30718960    0.27540201
    1.32450330    0.28133500
    1.34228190    0.28726801
    1.36054420    0.29320100
    1.37931040    0.29913399
    1.39860140    0.30506700
    1.41843970    0.31099999
    1.43884900    0.31888899
    1.45985400    0.32677901
    1.48148140    0.33466801
    1.50375940    0.34255701
    1.52671750    0.35044700
    1.55038760    0.35833600
    1.57480310    0.36622500
    1.60000000    0.37411499
    1.62601630    0.38200399
    1.65289260    0.38611099
    1.68067230    0.37823799
    1.70940170    0.37036499
    1.73913040    0.36249200
    1.76991150    0.35461900
    1.80180180    0.34674600
    1.83486240    0.33887300
    1.86915890    0.33100000
    1.90476190    0.32053599
    1.94174750    0.31007299
    1.98019800    0.29960901
    2.02020190    0.28914601
    2.06185560    0.27868199
    2.10526320    0.26821899
    2.15053770    0.25775501
    2.19780230    0.25200000
    2.24719100    0.25200000
    2.29885050    0.25200000
    2.35294130    0.25200000
    2.40963860    0.25200000
    2.46913580    0.25200000
    2.53164550    0.25200000
    2.59740260    0.25200000
    2.66666670    0.25200000
    2.73972610    0.25200000
    2.81690140    0.25200000
    2.89855070    0.25200000
    2.98507450    0.25200000
    3.07692310    0.25200000
    3.17460320    0.25200000
    3.27868840    0.25200000
    3.38983060    0.25200000
    3.50877190    0.25200000
    3.63636370    0.25200000
    3.77358480    0.25200000
    3.92156860    0.25200000
