#
# Surface albedo : snow
#
# Number of sampled values :
 208
# wavelength        albedo
#  (microns)
    0.20000000    0.84500003
    0.20242915    0.84500003
    0.20408164    0.84500003
    0.20576131    0.84500003
    0.20746888    0.84500003
    0.20920502    0.84500003
    0.21097046    0.84500003
    0.21276596    0.84500003
    0.21459228    0.84500003
    0.21645021    0.84500003
    0.21834061    0.84500003
    0.22026432    0.84500003
    0.22222222    0.84500003
    0.22421524    0.84500003
    0.22624435    0.84500003
    0.22831050    0.84500003
    0.23041475    0.84500003
    0.23255815    0.84500003
    0.23474178    0.84500003
    0.23696682    0.84500003
    0.23923445    0.84500003
    0.24154590    0.84500003
    0.24390244    0.84500003
    0.24630542    0.84500003
    0.24875621    0.84500003
    0.25125629    0.84500003
    0.25380710    0.84500003
    0.25641027    0.84500003
    0.25906736    0.84500003
    0.26178011    0.84500003
    0.26455027    0.84500003
    0.26737967    0.84500003
    0.27027026    0.84500003
    0.27322406    0.84500003
    0.27624309    0.84500003
    0.27932960    0.84500003
    0.28248587    0.84500003
    0.28571430    0.84500003
    0.28901735    0.84500003
    0.29239765    0.84500003
    0.29585800    0.84500003
    0.29940119    0.84500003
    0.30303031    0.84675002
    0.30674848    0.84885001
    0.31055900    0.85095000
    0.31446540    0.85304999
    0.31847134    0.85514998
    0.32258064    0.85724998
    0.32679740    0.85935003
    0.33112583    0.86145002
    0.33557048    0.86355001
    0.34013605    0.86565000
    0.34482759    0.86774999
    0.34965035    0.86984998
    0.35460994    0.87176800
    0.35971224    0.87367201
    0.36496350    0.87557602
    0.37037036    0.87747997
    0.37593985    0.87938398
    0.38167939    0.88128799
    0.38759691    0.88319200
    0.39370078    0.88509601
    0.40000001    0.88700002
    0.40650406    0.88743198
    0.41322315    0.88786399
    0.42016807    0.88829601
    0.42735043    0.88872802
    0.43478259    0.88915998
    0.44247788    0.88959199
    0.45045045    0.89001000
    0.45871559    0.89019001
    0.46728972    0.89037001
    0.47619048    0.89055002
    0.48543689    0.89073002
    0.49504951    0.89091003
    0.50505048    0.89099997
    0.51546389    0.89099997
    0.52631581    0.89099997
    0.53763443    0.89099997
    0.54945058    0.89099997
    0.56179774    0.88973999
    0.57471263    0.88841999
    0.58823532    0.88709998
    0.60240966    0.88537598
    0.61728394    0.88163197
    0.63291138    0.87788802
    0.64935064    0.87414402
    0.66666669    0.86699998
    0.68493152    0.85971999
    0.69686413    0.85517001
    0.70175439    0.85264999
    0.70671380    0.84886998
    0.71174377    0.84508997
    0.71684587    0.84131002
    0.72202164    0.83753002
    0.72727275    0.83375001
    0.73260075    0.82997000
    0.73800737    0.82618999
    0.74349445    0.82240999
    0.74906367    0.81862998
    0.75471699    0.81269997
    0.76045626    0.80633998
    0.76628351    0.79997998
    0.77220076    0.79361999
    0.77821010    0.78726000
    0.78431374    0.78090000
    0.79051381    0.77454001
    0.79681277    0.76818001
    0.80321288    0.76302803
    0.80971658    0.75908399
    0.81632656    0.75514001
    0.82304525    0.75119603
    0.82987553    0.74725199
    0.83682007    0.74330801
    0.84388185    0.73936403
    0.85106385    0.73399800
    0.85836911    0.72038001
    0.86580086    0.70676398
    0.87336242    0.69314700
    0.88105726    0.67952901
    0.88888890    0.66591299
    0.89686096    0.65229499
    0.90497738    0.64187902
    0.91324198    0.63350099
    0.92165899    0.62512100
    0.93023258    0.61674201
    0.93896711    0.60836399
    0.94786727    0.59998500
    0.95693779    0.57653999
    0.96618360    0.54842001
    0.97560978    0.52029997
    0.98522168    0.49217999
    0.99502486    0.46406001
    1.00502510    0.44705999
    1.01522840    0.44117999
    1.02564110    0.43529999
    1.03626940    0.42941999
    1.04712050    0.42354000
    1.05820110    0.42830801
    1.06951870    0.43685499
    1.08108100    0.44540301
    1.09289620    0.45394999
    1.10497240    0.45475599
    1.11731840    0.44438401
    1.12994350    0.43401101
    1.14285720    0.42363799
    1.15606940    0.39569801
    1.16959060    0.34684601
    1.18343200    0.29799399
    1.19760480    0.24914201
    1.21212120    0.22025000
    1.22699390    0.19535001
    1.24223600    0.17045000
    1.25786160    0.15832500
    1.27388540    0.15897501
    1.29032250    0.15962499
    1.30718960    0.15955400
    1.32450330    0.15850200
    1.34228190    0.15744901
    1.36054420    0.14983900
    1.37931040    0.13736500
    1.39860140    0.12489100
    1.41843970    0.08554600
    1.43884900    0.04413400
    1.45985400    0.01896250
    1.48148140    0.01243750
    1.50375940    0.00700000
    1.52671750    0.00700000
    1.55038760    0.00700800
    1.57480310    0.00750400
    1.60000000    0.00800000
    1.62601630    0.00852800
    1.65289260    0.00923800
    1.68067230    0.01148200
    1.70940170    0.01357750
    1.73913040    0.01536250
    1.76991150    0.01924000
    1.80180180    0.02466600
    1.83486240    0.03665400
    1.86915890    0.02875700
    1.90476190    0.00790250
    1.94174750    0.00716150
    1.98019800    0.00700000
    2.02020190    0.00700000
    2.06185560    0.00700000
    2.10526320    0.00700000
    2.15053770    0.00702200
    2.19780230    0.00891400
    2.24719100    0.01278000
    2.29885050    0.01300000
    2.35294130    0.00788000
    2.40963860    0.00580400
    2.46913580    0.00500000
    2.53164550    0.00500000
    2.59740260    0.00405100
    2.66666670    0.00366250
    2.73972610    0.00220250
    2.81690140    0.00200000
    2.89855070    0.00200000
    2.98507450    0.00200000
    3.07692310    0.00200000
    3.17460320    0.00200000
    3.27868840    0.00200000
    3.38983060    0.00200000
    3.50877190    0.00200000
    3.63636370    0.00200000
    3.77358480    0.00200000
    3.92156860    0.00200000
