#
# Surface albedo : vegetation
#
# Number of sampled values :
 208 
# wavelength        albedo
#  (microns)
    0.20000000    0.06000000
    0.20242915    0.06000000
    0.20408164    0.06000000
    0.20576131    0.06000000
    0.20746888    0.06000000
    0.20920502    0.06000000
    0.21097046    0.06000000
    0.21276596    0.06000000
    0.21459228    0.06000000
    0.21645021    0.06000000
    0.21834061    0.06000000
    0.22026432    0.06000000
    0.22222222    0.06000000
    0.22421524    0.06000000
    0.22624435    0.06000000
    0.22831050    0.06000000
    0.23041475    0.06000000
    0.23255815    0.06000000
    0.23474178    0.06000000
    0.23696682    0.06000000
    0.23923445    0.06000000
    0.24154590    0.06000000
    0.24390244    0.06000000
    0.24630542    0.06000000
    0.24875621    0.06000000
    0.25125629    0.06000000
    0.25380710    0.06000000
    0.25641027    0.06000000
    0.25906736    0.06000000
    0.26178011    0.06000000
    0.26455027    0.06000000
    0.26737967    0.06000000
    0.27027026    0.06000000
    0.27322406    0.06000000
    0.27624309    0.06000000
    0.27932960    0.06000000
    0.28248587    0.06000000
    0.28571430    0.06000000
    0.28901735    0.06000000
    0.29239765    0.06000000
    0.29585800    0.06000000
    0.29940119    0.06000000
    0.30303031    0.06000000
    0.30674848    0.06000000
    0.31055900    0.06000000
    0.31446540    0.06000000
    0.31847134    0.06000000
    0.32258064    0.06000000
    0.32679740    0.06000000
    0.33112583    0.06000000
    0.33557048    0.06000000
    0.34013605    0.06000000
    0.34482759    0.06000000
    0.34965035    0.06000000
    0.35460994    0.06000000
    0.35971224    0.06000000
    0.36496350    0.06000000
    0.37037036    0.06000000
    0.37593985    0.06000000
    0.38167939    0.06000000
    0.38759691    0.06000000
    0.39370078    0.06000000
    0.40000001    0.06000000
    0.40650406    0.05889020
    0.41322315    0.06365010
    0.42016807    0.06610280
    0.42735043    0.06954470
    0.43478259    0.07191920
    0.44247788    0.07602700
    0.45045045    0.08025430
    0.45871559    0.08349690
    0.46728972    0.09091940
    0.47619048    0.09913330
    0.48543689    0.10413600
    0.49504951    0.11004700
    0.50505048    0.11902500
    0.51546389    0.12527600
    0.52631581    0.13098100
    0.53763443    0.13355100
    0.54945058    0.13129300
    0.56179774    0.11874400
    0.57471263    0.10527200
    0.58823532    0.09551440
    0.60240966    0.08503810
    0.61728394    0.07919580
    0.63291138    0.07445910
    0.64935064    0.07296780
    0.66666669    0.11199100
    0.68493152    0.22759600
    0.69686413    0.29949799
    0.70175439    0.32743400
    0.70671380    0.36063501
    0.71174377    0.38618699
    0.71684587    0.41491899
    0.72202164    0.44738999
    0.72727275    0.47306100
    0.73260075    0.50035602
    0.73800737    0.51143801
    0.74349445    0.51254702
    0.74906367    0.51828700
    0.75471699    0.52002001
    0.76045626    0.52013499
    0.76628351    0.52220303
    0.77220076    0.52187699
    0.77821010    0.52256799
    0.78431374    0.52392399
    0.79051381    0.52400100
    0.79681277    0.52384698
    0.80321288    0.52533001
    0.80971658    0.52602899
    0.81632656    0.52624297
    0.82304525    0.52710801
    0.82987553    0.52698398
    0.83682007    0.52812600
    0.84388185    0.52789301
    0.85106385    0.52907997
    0.85836911    0.52904099
    0.86580086    0.52925497
    0.87336242    0.53114098
    0.88105726    0.53102499
    0.88888890    0.53090501
    0.89686096    0.53210700
    0.90497738    0.53200001
    0.91324198    0.53189200
    0.92165899    0.53312498
    0.93023258    0.53303403
    0.93896711    0.53403401
    0.94786727    0.53388900
    0.95693779    0.53501600
    0.96618360    0.53605199
    0.97560978    0.53709197
    0.98522168    0.53598499
    0.99502486    0.53499699
    1.00502510    0.53399098
    1.01522840    0.53097200
    1.02564110    0.52791500
    1.03626940    0.52693403
    1.04712050    0.52551901
    1.05820110    0.52265900
    1.06951870    0.51914698
    1.08108100    0.51440698
    1.09289620    0.51094502
    1.10497240    0.50700498
    1.11731840    0.50369799
    1.12994350    0.49802500
    1.14285720    0.49388301
    1.15606940    0.49201101
    1.16959060    0.49197999
    1.18343200    0.49501100
    1.19760480    0.49586901
    1.21212120    0.49688801
    1.22699390    0.49759901
    1.24223600    0.49628001
    1.25786160    0.49164799
    1.27388540    0.48302799
    1.29032250    0.47167000
    1.30718960    0.44666699
    1.32450330    0.40917000
    1.34228190    0.36852100
    1.36054420    0.32905701
    1.37931040    0.29029500
    1.39860140    0.26141399
    1.41843970    0.22995301
    1.43884900    0.21489400
    1.45985400    0.22285600
    1.48148140    0.25149101
    1.50375940    0.27741101
    1.52671750    0.30796400
    1.55038760    0.33738500
    1.57480310    0.35986900
    1.60000000    0.37599999
    1.62601630    0.38448301
    1.65289260    0.38802701
    1.68067230    0.38281199
    1.70940170    0.37316701
    1.73913040    0.36506999
    1.76991150    0.35801199
    1.80180180    0.34573001
    1.83486240    0.33012599
    1.86915890    0.16237600
    1.90476190    0.09111430
    1.94174750    0.08616200
    1.98019800    0.13314600
    2.02020190    0.17018500
    2.06185560    0.19358900
    2.10526320    0.21714699
    2.15053770    0.23726900
    2.19780230    0.24785100
    2.24719100    0.21624701
    2.29885050    0.17491999
    2.35294130    0.13164701
    2.40963860    0.08628900
    2.46913580    0.03869130
    2.53164550    0.01000000
    2.59740260    0.01000000
    2.66666670    0.01000000
    2.73972610    0.01000000
    2.81690140    0.01000000
    2.89855070    0.01000000
    2.98507450    0.01000000
    3.07692310    0.01000000
    3.17460320    0.01000000
    3.27868840    0.01000000
    3.38983060    0.01000000
    3.50877190    0.01000000
    3.63636370    0.01000000
    3.77358480    0.01000000
    3.92156860    0.01000000
